Char	Docfreq
矶	1
炳	5
跳	228
叶	129
档	35
卞	8
伢	9
颜	99
旋	45
瘆	1
叙	12
溯	5
泻	4
鳌	1
么	3150
持	326
捋	5
涸	6
俐	8
航	34
汕	2
蝎	2
娼	2
壳	21
鼾	3
呼	282
识	467
涧	3
茼	1
共	212
彼	113
孜	8
困	165
叹	179
蜷	6
毗	1
皖	1
浓	89
喏	2
糜	1
呦	13
锵	4
赃	10
堪	72
障	54
扑	69
迟	80
酊	1
药	143
岔	21
覆	28
稞	2
隘	5
斌	20
赊	1
摇	177
蹴	2
谡	1
断	313
咦	23
漆	33
沼	5
革	85
调	316
啰	10
顷	3
宥	1
聂	3
察	163
娣	1
屹	5
尊	101
杨	133
镍	1
佩	47
牲	43
蜻	2
给	1893
疔	1
歌	140
俱	31
括	70
篷	16
渴	50
仁	58
顺	270
鸠	4
臆	4
拈	7
型	106
契	23
详	39
笠	1
招	224
咀	6
殉	2
展	217
曹	30
伺	26
斯	80
勇	154
默	230
赡	8
绒	12
本	994
汀	5
聪	83
千	358
穴	13
幺	2
加	637
希	259
激	226
蹬	23
匕	4
餮	4
蛆	2
淫	10
戟	2
汩	4
月	681
陂	2
頔	1
项	107
证	281
区	442
蔽	11
萋	2
诛	6
痨	2
押	23
漱	13
夷	11
筱	106
惭	18
添	76
匐	1
季	118
呷	3
咋	55
揍	26
盒	57
沮	21
盖	150
蒸	38
颔	1
症	55
言	487
行	1207
疏	34
幄	2
嘣	4
尘	68
声	1098
郝	23
鼐	1
妞	4
銮	1
疱	1
梭	24
镜	88
缸	15
里	3408
煽	6
煅	1
驾	75
吧	1012
槐	13
晌	7
辄	2
忻	1
镖	2
涅	3
晷	2
歇	52
可	2698
谑	7
磊	8
史	181
坊	21
丞	4
兰	87
壮	118
冲	267
顽	32
蛾	6
俞	17
僚	2
司	322
饵	3
粹	29
蔷	3
躯	26
检	80
刻	474
衩	2
曦	5
吕	14
螂	3
晰	40
镣	1
丈	85
轨	23
挤	98
挣	93
蛉	1
滴	114
戳	20
银	97
洄	1
寝	25
服	513
据	242
遇	345
挠	14
诵	20
孱	1
俗	107
阶	67
剥	37
赣	6
瀑	11
遛	4
啷	1
碱	5
朋	469
政	191
株	29
捏	48
沈	57
洌	1
它	652
再	1397
流	551
币	24
球	98
君	61
婶	13
糙	12
样	2109
噶	3
轻	587
脓	3
邰	2
乡	351
丢	130
垯	1
浴	22
琦	1
竟	438
贿	7
滚	96
熬	54
戈	13
瑶	8
曲	237
颖	8
柏	35
愰	1
慷	11
儋	2
块	333
涩	31
攻	34
匆	92
阐	6
覃	1
坷	23
恩	94
坚	261
劳	193
管	596
皇	82
刴	1
送	472
船	53
询	61
鳏	1
吱	21
年	2199
迫	70
匠	23
储	22
蛐	1
鹭	1
瘩	15
麑	1
在	5156
鲇	1
伴	272
哩	21
短	223
渺	15
余	211
转	518
迸	4
燎	11
掘	15
筐	15
冥	14
执	161
嫉	16
燕	64
拄	11
质	221
腻	26
愉	49
鹦	1
时	3647
嚼	26
丁	53
搁	34
保	478
倍	57
您	187
囫	3
暄	13
恙	6
狠	77
钞	18
趴	47
星	207
炭	19
涨	37
襄	6
镂	3
浣	1
喜	696
导	371
扒	24
薨	1
横	73
捱	3
宰	20
就	4172
摊	59
颧	1
疑	271
葩	2
侬	4
旖	5
墼	1
泚	1
莽	5
躇	5
赏	117
猪	125
舞	123
膂	1
工	1023
扯	63
揭	32
胧	17
侄	16
噩	14
逝	63
偕	3
瞑	2
折	178
仰	80
兆	9
促	65
榆	6
雇	7
硝	7
卯	4
卷	79
溺	5
凌	88
堂	226
侠	11
利	414
架	167
嚣	19
慵	8
层	156
趣	156
戒	31
趟	63
纷	94
南	414
谢	229
尽	430
邑	3
谶	2
侣	19
戮	1
夗	1
钦	13
寒	155
仲	8
荤	18
匝	1
艇	4
胄	1
洱	4
以	2448
帝	111
藉	15
壤	13
彦	1
嫂	68
疼	155
堰	9
瞻	8
鳅	5
涎	5
纠	58
潭	13
汐	1
牯	1
家	2802
屉	13
滥	17
你	2851
窝	119
泳	27
毡	12
淆	1
侦	12
絮	11
喂	80
析	33
萝	15
湛	7
孝	65
锋	20
舟	17
寂	59
嗯	81
黔	4
休	230
伟	103
出	2969
锯	9
揩	4
侮	7
当	1691
霉	37
公	899
俪	14
砝	3
联	193
徘	18
痔	2
叵	3
因	1261
陽	1
情	1724
杈	3
谎	32
喀	3
意	1518
茧	14
娃	55
顶	207
啪	35
萄	15
贷	22
辈	218
活	1123
绷	9
糯	8
育	137
油	177
悬	38
锅	98
沅	4
厦	13
舀	6
猢	3
衰	25
秩	21
馊	2
初	383
方	1316
突	342
守	176
镇	137
童	111
渝	3
丘	19
钢	79
肤	36
罕	19
檐	27
瞩	8
岩	26
多	2615
贸	26
垒	12
擅	14
所	1519
袅	5
诨	2
宇	52
蛤	1
灭	66
券	6
躬	11
迂	5
洛	12
绩	83
荜	1
饲	7
搡	2
芮	1
域	46
缥	2
冤	23
佛	188
渠	19
缎	2
疰	1
荼	1
熏	20
揄	4
祚	1
愤	65
称	241
推	208
惟	13
任	613
嘹	1
咬	93
玉	325
沭	3
单	519
匍	1
罗	145
省	173
癣	3
郭	37
馥	1
倒	512
咖	50
萌	11
放	1073
线	260
诿	2
飨	2
荷	14
拐	71
夫	302
费	301
死	530
腿	137
丙	3
彪	10
峡	20
煲	9
胞	21
箴	1
劣	19
泵	3
李	265
钥	39
态	272
蜿	9
喟	2
黜	2
寄	80
觍	1
欣	117
扽	1
峋	3
郎	3
屯	8
暑	48
伫	6
笋	5
昏	77
猝	7
肇	1
肌	18
谜	17
杖	17
富	209
番	107
抚	57
蠢	13
铠	1
课	166
铅	11
空	503
冷	344
术	215
恸	3
碳	5
轩	13
啾	3
嵘	2
蛹	2
汝	4
耍	52
谔	1
鸭	47
窟	24
呜	29
綮	1
腆	10
位	781
枇	1
轲	1
绍	117
蟠	1
回	2056
吗	840
比	876
舜	1
鳄	4
池	49
鲤	6
裤	68
踌	6
将	751
洋	114
败	128
蒋	12
发	1595
根	415
欠	71
庚	3
耙	1
鼓	140
茁	3
槌	2
噪	3
念	351
泡	101
卡	86
凑	76
耕	35
淋	50
九	182
丑	29
髦	8
狍	7
拮	5
姻	57
末	127
华	229
剖	6
霜	25
做	1382
危	88
眯	31
缴	14
瞅	20
萎	13
和	2407
沛	11
嗽	17
坆	1
髓	8
雪	166
扇	54
嫦	2
摹	4
阀	2
置	224
箸	1
剔	10
聿	3
缙	1
伊	38
骄	52
羝	1
菠	3
搏	23
芷	12
酉	1
牟	4
躺	104
筋	67
估	101
咒	18
瓤	1
赘	6
愿	362
惋	20
挂	220
缝	66
嗔	12
葚	2
佘	2
一	6110
丛	32
祷	22
湍	2
岂	46
几	1487
瘦	75
玷	3
皎	5
承	195
啁	1
啦	163
缠	63
僧	21
壶	23
蚣	1
濒	6
官	169
萸	3
憔	12
肃	52
欺	69
淘	21
编	79
煌	42
翼	45
纰	1
硫	1
脑	395
脖	49
合	525
论	391
帆	17
衅	4
莎	5
鲥	1
邢	7
凳	41
芜	7
盾	54
酥	13
鼠	60
分	1135
羞	64
犷	1
中	2423
奎	4
晖	7
徨	6
颈	17
炫	13
鱿	2
栅	5
酸	85
谨	32
手	1545
辫	17
嘬	1
菊	18
垲	1
瓒	1
腋	2
版	36
丐	9
曝	7
碑	32
溪	38
纺	4
捆	28
岗	76
攒	32
樊	151
簸	13
沂	1
叫	735
捧	52
痞	4
恐	112
檫	1
缆	4
需	385
描	53
虚	121
战	247
膨	7
建	332
期	481
韶	7
玺	2
屿	1
唐	68
弄	160
骛	3
抵	51
挫	25
茜	6
支	222
仞	1
太	917
柔	112
册	36
百	387
柬	8
鏖	1
臂	29
弃	192
诱	59
醒	238
耐	109
峤	2
及	395
秽	4
约	237
冬	183
蛇	49
