Word	Docfreq
开声	1
其夫	1
缠腰	1
叮叮咚咚	1
梅县	1
消遁	1
画风	1
翻过	4
贤仁志士	1
黄莹乐	1
金神	1
精工	1
直晃	1
脱贫	1
缎子	2
公安界	1
茬茬	1
乌苏里湾	1
一点一点	7
电猫	1
下雪冷	1
条儿	2
活性	1
孔孟之道	1
伊拉克	3
自愿者	1
叮咚	1
震住	1
晓之以理	1
摔倒	13
佛经	3
华南	1
文教	1
车渡口	1
品牌化	1
摇	41
老祖宗	3
保障房	1
红肿	2
曝光	4
安迪笑	3
边沿	1
大好	10
笨重	4
酸甜	2
体操	2
制销	1
狼子	1
倾刻	1
片刻	19
跪下	1
汽修厂	1
公正	6
练习	12
光头饼干	1
杨梅窗	1
大包小袋	2
脂粉	1
一例地	1
谱写	3
连襟	1
送还	2
哎哟妈	1
真相实话	1
黄帝内经	1
其意	2
有理有据	1
轻飘飘	5
尽心	1
食店	1
班级	18
证	9
偷窥	1
假货	3
打印机	1
行行行	1
笑言	1
莹气	1
火神庙	3
季	10
糖人	3
寄宿	4
炕上	1
目中无贼	1
扔奶	1
赏菊花	1
绝大多数	3
珠子	3
温房	1
疏	1
红毡	1
蚕卵	1
模仿	10
投入	25
耍赖	2
板桥路	1
嘟嘟嘟	1
有貌	1
神态	3
晌	2
沉浮	3
木镶银	1
可	830
山僧	1
可亲	1
姚楠	1
中山陵	2
田岗村	1
普及	11
专政	2
尚书令	1
连城籍	1
男队员	1
方兴未艾	1
专业课	1
挂号单	1
三蹦子	1
多玛	1
鲜鱼	1
伙晕	1
随行娶亲	1
刻	25
亿万	4
月光族	2
释怀上天	1
轨	2
咕道	1
道言不由衷	1
烟斗	1
贸易战	1
收取	2
同龄	4
巨石	8
致谢	3
归去	1
拾遗	2
领到	5
凭吊	4
撒拉族	1
香炉峰	1
蓝公子	1
安迪自	1
动词	2
族亲门	1
马棚	1
嚼劲	3
四五十万	1
伪造	1
猖狂	1
舍弃	10
二十二三	1
株	20
它	550
成败	4
垂钓	1
双雷管	1
丢	84
过暑	1
基友	2
藏民	1
蒙牛	1
殆尽	2
新平街	1
蓝衣	1
滚	39
白生	1
曲	16
力图	2
骐骥	1
埃博拉	1
大大咧咧	9
一味	15
飞天	7
小丘	1
熊掌	2
油汤	2
年味	9
配套	6
精手下	1
四百加八百	1
介绍信	3
楼堂馆所	1
木桩子	1
反攻	1
杭嘉湖	1
生存	36
狂欢夜	1
吉林	1
宫本	23
登高	1
何去何存	1
比如说	10
诡计	3
燕	3
来不及	39
胸中	4
演某	1
摆渡	1
明白	212
陈酒	1
蛙泳	1
记事儿	1
万里光	2
尺见方	1
找点	1
算算	12
窖里	1
小白龙	2
轮儿	2
朗读	2
趴	44
云层	3
李香凤	1
难舍	1
炭	4
庚辰	1
气儿	1
入门	2
革命	35
兴起	14
唐元	1
低诉	1
挑粪	1
折合	1
不力	2
踏实感	1
蒸馍馍	2
青蛙节	1
小子	49
从政	1
见熊	1
仪表	3
清泚	1
情意	11
课外	2
保护法	1
长杆	3
山羊	2
声言	2
堂	7
聚近	1
浦东	2
凤山	1
经得起	5
趣	5
憧憬	15
米质	1
理化	2
园林	4
妇道	1
宽裕	3
乌台诗	1
无理	5
旧时	8
纯美	2
酒米饭	1
石堎子	1
场所	15
殷红	2
顶棚	7
公德心	2
超强	1
寒风	13
你	2656
西藏	7
勃然	1
打晃	1
书体	1
校外	4
大鹏娘	2
持续	20
名胜古迹	2
甘拜	1
夏威夷	1
笨鸡	1
休	7
老少爷们	1
就餐	2
势不可	1
引奇点	1
小玉见	1
潜心	4
集市	10
木瓦油	2
红袖	1
吉米喜剧	1
杨巡可	1
答题	2
唠叨	19
明手	1
拔光	1
无可非议	1
北驰	1
天长日久	3
甪直	1
非现	1
知其然	1
阻挡	6
自助	2
葡萄树	1
间隙	3
空屋	1
干旱	5
妈径	1
小漏斗	1
恩人	1
恐惧	20
出台	3
举足不前	1
一息	1
陡山	1
商鞅变法	1
空无一人	1
珍视	2
妄动	1
饭馆	8
布手套	1
辩护	1
猪肘	1
春联	4
八大山人	2
任命	7
灭	21
大红大	1
香雪	2
使命	11
高照	1
王侯	2
兼容	1
域	1
远望	2
梁母不卑不亢	1
瘸腿	1
激励	13
受到	48
延河	1
尽头	14
堂堂	3
台岳	1
眼说	1
西安西	1
打闹	4
不屑	11
外衣	5
公房	1
紫红	1
夕阳红	2
板壁	1
满嘴唇	1
七里店	1
杂音	1
失踪	8
保护区	2
本伢伲	1
寻事	2
厂房	6
寻寻觅觅	1
小刘	2
双层	1
小生气	1
面具	6
有心动	1
八十几	1
桥下水	1
匕首	3
蠢	2
匣子	3
卡尔	1
处女房	1
开马	1
猜猜	3
身家	2
照例	5
门庭冷落	1
指责	6
秉烛	1
汝	1
减少	21
一清早	1
吭声	9
受托	1
清欢	1
饭团	7
鳄	2
将	614
窟龛	2
冷谈	1
疾疫	1
愈演愈烈	1
香味	18
集结地	1
高于	7
损话	1
交织	1
纳税人	2
冒泡	2
潺潺	4
甘孜州	1
悲欣	1
平崇学	1
骨肉	1
三类作物	1
城里房	1
丑	15
调教	1
缺额	1
劈面	1
社保局	1
香香	6
供应粮	2
绘画	6
复读生	1
死鬼	1
瓜饭	1
多多	6
知觉	3
田园	4
三峰	1
沁人心	1
蛀虫	3
有所好	1
裤袋	2
半辈子	3
倒不是说	1
一伙儿	2
看见	258
开源	1
阿诗玛	2
轻奏	1
除非	18
递减	1
屡见不休	1
交待	2
审计师	2
爱生如子	1
起蒂蒂	1
童度河	1
低价	1
空闲	8
板缝	1
成就感	7
长句	2
打雷	1
画功	1
香气	11
打败	9
祖产	1
老黄口	1
怪脏	1
案卷	1
粉店	1
金贵	4
轻盈	4
查询	6
世博会	1
红白喜事	4
发脾气	1
反其道而行之	1
名望	1
诗诗	3
不可磨灭	1
屡止	1
系统化	1
路演	1
原子弹	1
雪中送炭	3
呈现	20
破例过河	1
四清	1
尔反尔	1
羊群	5
太空	5
烤熟	2
亲娘	1
良效	1
拉下水	1
帆	2
望乡台	1
昏庸	2
泾阳安	2
医务室	1
笔触	1
变干	1
人盘	1
活路	1
瞧见狼	1
得法	1
茁壮	3
酸	11
短命	3
嘬	1
属实	1
四人帮	3
头颈部	1
双门口	1
北平	3
捐资	1
着眼角	1
小学生	10
叫	595
白蒿	3
阿狸	1
炮响	1
无心	7
建	77
摩托罗拉	1
魍魉	1
强弱	2
村道	1
赞赏	4
魁梧	3
青莲祠	1
百	33
庆祝会	1
兴修	1
捧腹大笑	3
增长率	1
人形	1
芝麻叶	1
抑止	1
外头	7
绿芽	1
土炕盘	1
流星	2
箩卜	2
感人肺腑	1
电线杆	5
拿克斯	1
交友	1
淑德	1
怡愉	1
丁玲	1
危机	11
阿修罗才	1
内方	1
蒙娜丽莎	2
黄毛丫头	1
忍耐力	1
老肖指	1
监工	1
肺	10
贫	7
大怒	3
有限公司	4
和氏璧	1
人所共知	2
湖荡舟	1
应得	3
璀璨夺目	3
待业青年	2
多灾多难	1
瞩目	4
中国队	1
军人证	1
上升期	1
小涛	5
尽情	14
青	17
依山傍水	2
四十分	2
笔笔	1
老妈	19
糟蹋	7
文如其人	1
发言权	2
三立	2
深层	1
明玉帮	1
留神	9
仁慈	5
晶莹剔透	1
行政区划	1
命途	2
随处坑人	1
许多性	1
红木	1
日志	4
定时	2
鹰	1
环卫所	1
南昌市	2
夜壶	1
主心骨樊	1
自习	11
念念不忘复仇	1
丝丝缕缕	1
提干	4
桑晓面	1
勃发	3
外国糖	1
情有可原	2
新郎	5
成名	3
沟坎	2
碣石	1
帮明	1
迷人	11
长毛剃	1
寄予	2
红柿	2
高程	1
徐	5
柠檬浴	1
草庐式	1
大调	1
摊位费	1
客气	42
外来	32
疙瘩草疙瘩草	1
信念	22
婆拎	1
陷于	2
数百	10
写作	28
萧规曹随	1
指南	2
大限	1
重物	2
名门	3
含量	5
简老家	1
数得上	1
