	Word	Class0	Class1	Class2	MultiMean
0	纠缠	2	2	2	19
1	中国人民银行	1	1	1	2
2	收揽	1	2	2	18
3	修行	1	1	1	3
4	全军覆没	1	1	1	15
5	葡萄园	1	1	1	22
6	决策者	1	1	1	14
7	双曲线	1	1	1	60
8	尽如人意	2	2	2	103
9	龙塘坝乡	1	1	1	130
10	体坛	1	1	1	24
11	听众	1	1	1	1
12	律	2	3	3	34
13	好处费	1	1	1	8
14	开车	2	2	2	4
15	登报	1	1	1	0
16	难	2	2	4	73
17	水肥	1	1	1	4
18	上京	1	1	1	12
19	外表	2	2	2	14
20	贴补率	1	1	1	187
21	冰棒	1	1	1	5
22	一脉相承	1	1	1	1
23	故而	1	1	1	13
24	本行政区域	1	1	1	2
25	漫无际涯	1	2	2	66
26	掮客	1	1	1	2
27	精品屋	1	1	1	17
28	唐山	1	1	1	279
29	贵港	1	1	1	20
30	一府两院	1	1	1	0
31	纯	2	4	4	53
32	销区	1	1	1	21
33	未便	1	1	1	10
34	瘗	1	1	1	6
35	应敌	1	1	1	5
36	唱	1	1	1	10
37	陷没	1	1	1	9
38	封口	1	1	1	0
39	各机	1	1	1	3
40	走道儿	1	1	1	13
41	逼供	1	1	1	6
42	低人一等	1	1	1	18
43	答谢辞	1	1	1	9
44	神像	1	1	1	19
45	沼泽	1	1	1	7
46	头一回	1	1	1	3
47	温习	1	1	1	5
48	势成骑虎	1	1	1	17
49	明公正道	1	1	1	16
50	垃圾桶	1	1	1	3
51	发祥地	1	1	1	5
52	儒术	1	1	1	15
53	远房亲戚	1	1	1	7
54	定时	1	1	1	1
55	封阻	1	1	1	27
56	百货店	1	1	1	6
57	升学	2	2	2	3
58	执勤	1	1	1	2
59	以权谋私	1	1	1	5
60	赤诚	1	1	1	21
61	不问	1	1	1	0
62	本题	1	1	1	2
63	侦察员	1	1	1	4
64	日射角	1	1	1	6
65	程海乡	1	1	1	130
66	流通量	1	1	1	141
67	阿塞拜疆	1	1	1	299
68	白杨	1	1	1	2
69	传经授道	1	1	1	16
70	防身	1	1	1	1
71	生杀予夺	1	1	1	15
72	黯然神伤	1	1	1	11
73	赤铁矿	1	1	1	37
74	粉乎乎	1	1	1	7
75	棱柱体	1	1	1	1
76	榆	1	1	1	3
77	本月	1	1	1	6
78	异客	1	1	1	15
79	发端	2	2	2	46
80	苦功夫	1	1	1	7
81	工联会	1	1	1	76
82	一阵子	1	1	1	20
83	开禁	1	1	1	3
84	皇	2	2	2	17
85	认账	1	1	1	5
86	蜡虫	1	1	1	1
87	家电业	1	1	1	149
88	国体	1	1	1	1
89	柔情绰态	1	1	1	8
90	高矗	1	1	1	13
91	古生物学界	1	1	1	5
92	前功尽弃	1	1	1	11
93	坐化	1	1	1	4
94	米粉肉	1	1	1	1
95	无烟日	1	1	1	31
96	俨	1	2	3	45
97	雪里送炭	1	1	1	2
98	通化市	1	1	1	499
99	牙轮	1	1	1	1
100	园区	1	1	1	171
101	夙嫌	2	2	2	29
102	作风	1	2	2	11
103	上级	1	1	1	7
104	画面	1	1	1	2
105	满文	1	1	1	12
106	官兵们	1	1	1	1
107	在下	1	1	1	9
108	听从	2	2	2	27
109	金光	1	1	1	28
110	一总	2	2	2	33
111	导入	1	1	1	1
112	磁倾角	1	1	1	2
113	皮张	1	1	1	5
114	不学无术	1	1	1	20
115	以南	1	1	1	2
116	查禁	1	1	1	8
117	前方	1	1	2	13
118	一票否决制	1	1	1	10
119	瘦煤	1	1	1	14
120	治疗仪	1	1	1	30
121	搞关系	1	1	1	5
122	黑体	2	2	2	11
123	席卷而逃	1	1	1	1
124	单循环赛	1	1	1	54
125	合约	1	1	1	1
126	扦插	2	2	2	9
127	期限	1	1	1	6
128	救助法	1	1	1	56
129	汉语言	1	1	1	5
130	以诚相待	1	1	1	3
131	濒死	1	1	1	2
132	兽药厂	1	1	1	115
133	怯声怯气	1	1	1	26
134	告别	2	2	2	11
135	浞	1	1	1	5
136	坐探	1	1	1	15
137	匾	1	1	2	6
138	根系	1	1	1	26
139	划着	1	1	1	0
140	扩大	1	1	1	7
