binlieConj	dijinConj	jissheConj	rangbuConj	shunchengConj	tiaojianConj	yinguoConj	zhuanzheConj	ConjNeg	ConjPosi	ConjAll
跟	不单	而	虽	乃	除非	盖	但	不过	并且	跟
和	不但	苟	则	遂	只要	为	而	不然	不单	和
及	不独	如	尽管	既而	只有	以	可	不如	不单单	及
暨	不光	若	虽然	继而	除 	因	然	但	不但	暨
同	不仅	设	虽说	随着	除开	由	不过	但是	不管	同
与	不特	使	虽则	以便	除了	缘	不然	而	不仅	与
及其	不惟	倘	换言之	于是	除去	坐	但是	而是	不仅仅	及其
以及	不只	要	且不说	以至	除外	鉴于	可是	反倒	不论	以及
并	非但	假如	换句话说	以至于	才	起于	然而	反而	不只	并
而	非独	假若	便	于是乎	庶	惟其	然则	否则	除非	而
且	非特	假使	即	如上	庶乎	因为	反之	固然	此外	且
以	非徒	如果	就	上述	庶几	由于	只是 	即便	而且	以
又	岂但	如其	饶	照上	不如	缘于	不过是	即令	跟	又
并且	况	如若	纵	总的	宁可	只因	反过来说	即使	还是	并且
而且	而况	若果	不怕	总之	与其	故	恰恰相反	尽管	何况	而且
同时	何况	若使	即便	简言之	倒不如	用	别说	就是	和	同时
一方面	加以	若是	即或	说起来	还不如	从而	慢道	就算	或	一方面
另一方面	加之	设若	即令	如前所述	管	故此	慢说	可是	或者	另一方面
与此同时	况且	设或	即若	如上所述	凭	故而	休道	免得	及	与此同时
也即	二来	设使	即使	综上所述	任	所以	休说	然而	既	也即
也就	二则	倘或	就是	总的来看	任凭	为此	休言	省得	既然	也就
也是	还有	倘然	就算	总的来说	别管	以此		虽	暨	也是
亦即	兼之	倘若	哪怕	总的说来	不管	以至		虽然	加上	亦即
或	且说	倘使	纵令	总而言之	不拘	以致		虽说	加以	或
要	再说	万一	纵然	一言以蔽之	不论	因此		虽则	鉴于	要
抑	再有	向使	纵使	就是说	任便	因而		万一	进而	抑
还是	再则	要是	要不然	具体地说	任随	因之		唯有	就是	还是
或是	再者	如果说	既	具体说来	随便	以至于		惟有	况且	或是
或则	再加之	那	按说	这就是说	无论	之所以		毋宁	另外	或则
或者	再其次	那么	既然		不论是			要不	乃至	或者
要么	再者说		既是		无论是			要不然	乃至于	要么
抑或	更有甚者		俗话说		不管怎样			要不是	岂止	抑或
	何啻		既然如此		无论如何			要么	且	不单
	何止				凡			以免	任凭	不但
	岂止				大凡			与其	如果	不独
					但凡			只是	如若	不光
					凡是			只有	若	不仅
					举凡			纵使	若非	不特
					是凡				若是	不惟
					管自				甚而	不只
					尽管				甚或	非但
					只管				甚至	非独
					若非				所以	非特
					若不是				同时	非徒
					要不是				无论	岂但
					否则				要不是	况
					要不				要是	而况
					再不				也	何况
					再不然				以便	加以
					此外				以及	加之
					二者				以至	况且
					另外				以至于	二来
					余外				以致	二则
					转而				以致于	还有
					除此以外				亦	兼之
					除此之外				抑或	且说
									因	再说
									因此	再有
									因而	再则
									因为	再者
									由于	再加之
									又	再其次
									于是	再者说
									于是乎	更有甚者
									与	何啻
									再	何止
									再说	岂止
									再则	而
									再者	苟
									之所以	如
									只要	若
									致使	设
										使
										倘
										要
										假如
										假若
										假使
										如果
										如其
										如若
										若果
										若使
										若是
										设若
										设或
										设使
										倘或
										倘然
										倘若
										倘使
										万一
										向使
										要是
										如果说
										那
										那么
										虽
										则
										尽管
										虽然
										虽说
										虽则
										换言之
										且不说
										换句话说
										便
										即
										就
										饶
										纵
										不怕
										即便
										即或
										即令
										即若
										即使
										就是
										就算
										哪怕
										纵令
										纵然
										纵使
										要不然
										既
										按说
										既然
										既是
										俗话说
										既然如此
										乃
										遂
										既而
										继而
										随着
										以便
										于是
										以至
										以至于
										于是乎
										如上
										上述
										照上
										总的
										总之
										简言之
										说起来
										如前所述
										如上所述
										综上所述
										总的来看
										总的来说
										总的说来
										总而言之
										一言以蔽之
										就是说
										具体地说
										具体说来
										这就是说
										除非
										只要
										只有
										除 
										除开
										除了
										除去
										除外
										才
										庶
										庶乎
										庶几
										不如
										宁可
										与其
										倒不如
										还不如
										管
										凭
										任
										任凭
										别管
										不管
										不拘
										不论
										任便
										任随
										随便
										无论
										不论是
										无论是
										不管怎样
										无论如何
										凡
										大凡
										但凡
										凡是
										举凡
										是凡
										管自
										尽管
										只管
										若非
										若不是
										要不是
										否则
										要不
										再不
										再不然
										此外
										二者
										另外
										余外
										转而
										除此以外
										除此之外
										盖
										为
										以
										因
										由
										缘
										坐
										鉴于
										起于
										惟其
										因为
										由于
										缘于
										只因
										故
										用
										从而
										故此
										故而
										所以
										为此
										以此
										以至
										以致
										因此
										因而
										因之
										以至于
										之所以
										但
										而
										可
										然
										不过
										不然
										但是
										可是
										然而
										然则
										反之
										只是 
										不过是
										反过来说
										恰恰相反
										别说
										慢道
										慢说
										休道
										休说
										休言
