HGJ_level_1_CH_900	HGJ_level_2_CH_900	HGJ_level_3_CH_900	HGJ_level_4_CH_300
啊	阿	哎	蔼
爱	挨	哀	隘
安	矮	癌	澳
按	碍	艾	靶
八	岸	唉	掰
把	案	昂	扳
爸	暗	凹	谤
吧	傲	熬	磅
白	巴	奥	镑
百	拔	扒	煲
班	罢	叭	豹
般	摆	芭	狈
板	败	坝	绷
办	拜	霸	痹
半	搬	柏	碧
帮	版	颁	辫
包	扮	斑	飙
保	伴	拌	彬
报	榜	瓣	缤
抱	棒	邦	秉
杯	傍	绑	舶
北	胞	膀	睬
备	饱	堡	沧
背	宝	曝	曹
被	暴	卑	槽
本	爆	碑	蹭
比	悲	惫	岔
笔	贝	崩	诧
币	倍	蹦	掺
必	辈	鄙	搀
边	奔	毙	馋
变	笨	蔽	禅
便	逼	弊	猖
遍	鼻	臂	嫦
标	彼	鞭	辰
表	毕	贬	秤
别	闭	辨	弛
并	壁	憋	稠
病	避	滨	瞅
播	编	丙	揣
补	扁	柄	踹
不	辩	剥	炊
布	宾	伯	捶
步	冰	驳	戳
部	兵	泊	绰
才	饼	勃	囱
采	拨	脖	簇
彩	波	搏	叨
菜	玻	膊	蹬
参	博	卜	邓
餐	薄	哺	蒂
草	捕	怖	巅
层	擦	惭	甸
曾	猜	灿	刁
茶	材	苍	爹
查	财	舱	迭
察	裁	糙	谍
差	踩	缠	盹
产	残	铲	炖
长	惨	阐	哆
常	仓	颤	舵
厂	藏	敞	讹
场	操	钞	俄
唱	册	巢	娥
超	厕	嘲	厄
朝	侧	扯	鳄
车	测	臣	饵
晨	策	尘	绯
称	叉	陈	诽
成	插	趁	焚
承	拆	呈	冯
城	柴	惩	孵
程	昌	澄	敷
吃	肠	橙	袱
持	尝	逞	尬
冲	偿	痴	尴
充	畅	驰	耿
出	倡	齿	弓
初	抄	侈	躬
除	潮	耻	沽
础	吵	斥	贾
楚	炒	赤	棺
处	彻	翅	闺
穿	撤	仇	郭
传	沉	绸	骇
船	衬	畴	酣
窗	撑	酬	韩
床	诚	筹	捍
创	乘	橱	焊
吹	池	畜	杭
春	迟	川	禾
词	尺	喘	阂
此	虫	垂	鹤
次	崇	锤	沪
从	宠	唇	哗
村	抽	醇	徊
存	愁	蠢	淮
错	丑	瓷	槐
达	臭	慈	焕
答	厨	磁	恍
打	储	赐	卉
大	触	匆	讳
代	串	葱	秽
带	闯	丛	豁
待	纯	凑	霍
单	辞	窜	讥
但	刺	催	缉
蛋	聪	摧	稽
当	粗	粹	棘
刀	促	翠	嫉
导	醋	搓	颊
倒	脆	磋	跤
到	寸	挫	礁
道	措	歹	嚼
得	搭	怠	绞
的	呆	逮	矫
灯	贷	丹	茎
等	袋	耽	荆
低	戴	荡	兢
底	担	捣	阱
地	胆	祷	窘
弟	旦	悼	揪
第	诞	凳	鞠
典	淡	瞪	锯
点	弹	堤	钧
电	挡	迪	骏
店	党	涤	楷
调	档	笛	吭
掉	岛	缔	孔
定	蹈	颠	窥
东	盗	垫	澜
冬	稻	淀	唠
懂	德	惦	涝
动	登	奠	磊
都	滴	殿	棱
读	敌	叼	敛
度	抵	雕	寥
短	帝	钓	潦
段	递	叠	咧
断	吊	碟	刘
队	跌	丁	瘤
对	顶	叮	遛
顿	订	盯	胧
多	丢	钉	芦
饿	冻	鼎	卤
儿	洞	董	吕
而	斗	栋	铝
二	豆	兜	孪
