Char	Level
啊	1
爱	1
安	1
按	1
八	1
把	1
爸	1
吧	1
白	1
百	1
班	1
般	1
板	1
办	1
半	1
帮	1
包	1
保	1
报	1
抱	1
杯	1
北	1
备	1
背	1
被	1
本	1
比	1
笔	1
币	1
必	1
边	1
变	1
便	1
遍	1
标	1
表	1
别	1
并	1
病	1
播	1
补	1
不	1
布	1
步	1
部	1
才	1
采	1
彩	1
菜	1
参	1
餐	1
草	1
层	1
曾	1
茶	1
查	1
察	1
差	1
产	1
长	1
常	1
厂	1
场	1
唱	1
超	1
朝	1
车	1
晨	1
称	1
成	1
承	1
城	1
程	1
吃	1
持	1
冲	1
充	1
出	1
初	1
除	1
础	1
楚	1
处	1
穿	1
传	1
船	1
窗	1
床	1
创	1
吹	1
春	1
词	1
此	1
次	1
从	1
村	1
存	1
错	1
达	1
答	1
打	1
大	1
代	1
带	1
待	1
单	1
但	1
蛋	1
当	1
刀	1
导	1
倒	1
到	1
道	1
得	1
的	1
灯	1
等	1
低	1
底	1
地	1
弟	1
第	1
典	1
点	1
电	1
店	1
调	1
掉	1
定	1
东	1
冬	1
懂	1
动	1
都	1
读	1
度	1
短	1
段	1
断	1
队	1
对	1
顿	1
多	1
饿	1
儿	1
而	1
二	1
发	1
法	1
烦	1
反	1
饭	1
范	1
方	1
防	1
房	1
访	1
放	1
飞	1
非	1
费	1
分	1
份	1
丰	1
风	1
封	1
否	1
夫	1
服	1
福	1
府	1
父	1
负	1
复	1
富	1
该	1
改	1
概	1
干	1
赶	1
敢	1
感	1
刚	1
高	1
搞	1
告	1
哥	1
歌	1
格	1
个	1
各	1
给	1
根	1
跟	1
更	1
工	1
公	1
功	1
共	1
够	1
姑	1
古	1
故	1
顾	1
挂	1
怪	1
关	1
观	1
馆	1
管	1
惯	1
光	1
广	1
规	1
贵	1
国	1
果	1
过	1
哈	1
还	1
孩	1
海	1
害	1
喊	1
汉	1
好	1
号	1
喝	1
合	1
何	1
和	1
河	1
黑	1
很	1
红	1
后	1
候	1
忽	1
湖	1
互	1
护	1
花	1
划	1
华	1
化	1
画	1
话	1
坏	1
欢	1
环	1
换	1
黄	1
回	1
会	1
婚	1
活	1
火	1
或	1
机	1
鸡	1
积	1
基	1
及	1
级	1
极	1
急	1
集	1
几	1
己	1
计	1
记	1
纪	1
技	1
际	1
济	1
继	1
寄	1
绩	1
加	1
家	1
假	1
价	1
架	1
坚	1
间	1
检	1
简	1
见	1
件	1
建	1
健	1
将	1
讲	1
交	1
教	1
角	1
饺	1
脚	1
叫	1
较	1
接	1
街	1
节	1
结	1
姐	1
解	1
介	1
界	1
借	1
斤	1
今	1
金	1
仅	1
尽	1
紧	1
进	1
近	1
京	1
经	1
精	1
景	1
警	1
净	1
静	1
境	1
究	1
九	1
久	1
酒	1
旧	1
救	1
就	1
局	1
举	1
句	1
具	1
剧	1
据	1
决	1
觉	1
绝	1
军	1
卡	1
开	1
看	1
康	1
考	1
靠	1
科	1
可	1
渴	1
克	1
刻	1
客	1
课	1
肯	1
空	1
口	1
哭	1
苦	1
块	1
快	1
筷	1
款	1
况	1
困	1
拉	1
来	1
蓝	1
篮	1
浪	1
劳	1
老	1
乐	1
了	1
类	1
累	1
冷	1
离	1
礼	1
李	1
里	1
理	1
力	1
历	1
立	1
利	1
例	1
连	1
联	1
脸	1
练	1
凉	1
两	1
亮	1
辆	1
量	1
烈	1
林	1
零	1
领	1
另	1
留	1
流	1
六	1
龙	1
楼	1
录	1
路	1
旅	1
绿	1
乱	1
论	1
络	1
落	1
妈	1
麻	1
马	1
吗	1
买	1
卖	1
满	1
慢	1
忙	1
毛	1
么	1
没	1
媒	1
每	1
美	1
妹	1
门	1
们	1
迷	1
米	1
面	1
民	1
名	1
明	1
命	1
模	1
某	1
母	1
木	1
目	1
拿	1
哪	1
那	1
奶	1
男	1
南	1
难	1
脑	1
呢	1
内	1
能	1
你	1
年	1
念	1
娘	1
鸟	1
您	1
牛	1
农	1
弄	1
努	1
女	1
暖	1
爬	1
怕	1
拍	1
排	1
牌	1
派	1
判	1
旁	1
跑	1
配	1
朋	1
碰	1
批	1
皮	1
篇	1
片	1
票	1
漂	1
品	1
平	1
评	1
瓶	1
破	1
普	1
七	1
期	1
齐	1
其	1
奇	1
骑	1
起	1
气	1
汽	1
器	1
千	1
前	1
钱	1
强	1
墙	1
桥	1
且	1
切	1
亲	1
青	1
轻	1
清	1
情	1
请	1
庆	1
秋	1
求	1
球	1
区	1
取	1
去	1
全	1
缺	1
确	1
群	1
然	1
让	1
热	1
人	1
认	1
任	1
仍	1
日	1
容	1
肉	1
如	1
入	1
赛	1
三	1
色	1
沙	1
山	1
善	1
伤	1
商	1
上	1
少	1
绍	1
设	1
社	1
谁	1
身	1
深	1
什	1
神	1
升	1
生	1
声	1
省	1
胜	1
失	1
师	1
十	1
石	1
时	1
识	1
实	1
食	1
史	1
使	1
始	1
士	1
示	1
世	1
市	1
式	1
势	1
事	1
试	1
视	1
是	1
适	1
室	1
收	1
手	1
首	1
受	1
书	1
舒	1
输	1
熟	1
属	1
术	1
束	1
树	1
数	1
双	1
水	1
睡	1
顺	1
说	1
司	1
思	1
死	1
四	1
似	1
送	1
诉	1
速	1
算	1
虽	1
随	1
岁	1
所	1
他	1
它	1
她	1
台	1
太	1
态	1
谈	1
汤	1
堂	1
糖	1
讨	1
套	1
特	1
疼	1
提	1
题	1
体	1
天	1
条	1
跳	1
铁	1
听	1
庭	1
停	1
挺	1
通	1
同	1
痛	1
头	1
突	1
图	1
土	1
团	1
推	1
腿	1
退	1
托	1
外	1
完	1
玩	1
晚	1
碗	1
万	1
王	1
网	1
往	1
忘	1
望	1
危	1
为	1
围	1
伟	1
卫	1
位	1
味	1
温	1
文	1
闻	1
问	1
我	1
握	1
屋	1
无	1
五	1
午	1
武	1
舞	1
务	1
物	1
误	1
西	1
希	1
息	1
习	1
席	1
洗	1
喜	1
戏	1
系	1
下	1
夏	1
先	1
显	1
险	1
现	1
线	1
乡	1
相	1
香	1
响	1
想	1
向	1
项	1
象	1
像	1
消	1
小	1
校	1
笑	1
效	1
些	1
鞋	1
写	1
血	1
谢	1
心	1
新	1
信	1
星	1
行	1
形	1
兴	1
幸	1
性	1
姓	1
雄	1
休	1
修	1
须	1
需	1
许	1
续	1
宣	1
选	1
学	1
雪	1
训	1
压	1
烟	1
言	1
研	1
颜	1
眼	1
演	1
验	1
央	1
羊	1
阳	1
养	1
样	1
药	1
要	1
爷	1
也	1
业	1
页	1
夜	1
一	1
衣	1
医	1
依	1
宜	1
已	1
以	1
椅	1
亿	1
义	1
艺	1
议	1
易	1
意	1
因	1
音	1
银	1
印	1
应	1
英	1
迎	1
营	1
影	1
永	1
泳	1
用	1
优	1
由	1
邮	1
油	1
游	1
友	1
有	1
又	1
右	1
于	1
鱼	1
与	1
雨	1
语	1
育	1
预	1
元	1
园	1
员	1
原	1
远	1
院	1
愿	1
约	1
月	1
越	1
运	1
杂	1
再	1
在	1
咱	1
脏	1
早	1
澡	1
造	1
责	1
怎	1
增	1
展	1
占	1
站	1
张	1
章	1
掌	1
招	1
找	1
照	1
者	1
这	1
着	1
真	1
争	1
整	1
正	1
证	1
政	1
之	1
支	1
知	1
织	1
直	1
值	1
职	1
止	1
只	1
纸	1
指	1
至	1
志	1
制	1
治	1
致	1
中	1
终	1
钟	1
种	1
众	1
重	1
周	1
主	1
助	1
住	1
注	1
祝	1
抓	1
专	1
转	1
装	1
状	1
追	1
准	1
桌	1
资	1
子	1
自	1
字	1
总	1
走	1
租	1
足	1
族	1
组	1
嘴	1
最	1
昨	1
左	1
作	1
坐	1
座	1
做	1
阿	2
挨	2
矮	2
碍	2
岸	2
案	2
暗	2
傲	2
巴	2
拔	2
罢	2
摆	2
败	2
拜	2
搬	2
版	2
扮	2
伴	2
榜	2
棒	2
傍	2
胞	2
饱	2
宝	2
暴	2
爆	2
悲	2
贝	2
倍	2
辈	2
奔	2
笨	2
逼	2
鼻	2
彼	2
毕	2
闭	2
壁	2
避	2
编	2
扁	2
辩	2
宾	2
冰	2
兵	2
饼	2
拨	2
波	2
玻	2
博	2
薄	2
捕	2
擦	2
猜	2
材	2
财	2
裁	2
踩	2
残	2
惨	2
仓	2
藏	2
操	2
册	2
厕	2
侧	2
测	2
策	2
叉	2
插	2
拆	2
柴	2
昌	2
肠	2
尝	2
偿	2
畅	2
倡	2
抄	2
潮	2
吵	2
炒	2
彻	2
撤	2
沉	2
衬	2
撑	2
诚	2
乘	2
池	2
迟	2
尺	2
虫	2
崇	2
宠	2
抽	2
愁	2
丑	2
臭	2
厨	2
储	2
触	2
串	2
闯	2
纯	2
辞	2
刺	2
聪	2
粗	2
促	2
醋	2
脆	2
寸	2
措	2
搭	2
呆	2
贷	2
袋	2
戴	2
担	2
胆	2
旦	2
诞	2
淡	2
弹	2
挡	2
党	2
档	2
岛	2
蹈	2
盗	2
稻	2
德	2
登	2
滴	2
敌	2
抵	2
帝	2
递	2
吊	2
跌	2
顶	2
订	2
丢	2
冻	2
洞	2
斗	2
豆	2
督	2
毒	2
独	2
堵	2
赌	2
肚	2
渡	2
端	2
锻	2
堆	2
吨	2
蹲	2
盾	2
夺	2
朵	2
躲	2
额	2
恶	2
恩	2
尔	2
耳	2
乏	2
罚	2
番	2
翻	2
凡	2
繁	2
返	2
犯	2
泛	2
仿	2
啡	2
肥	2
肺	2
废	2
纷	2
氛	2
粉	2
奋	2
愤	2
疯	2
峰	2
锋	2
奉	2
佛	2
肤	2
扶	2
浮	2
符	2
幅	2
辅	2
腐	2
付	2
妇	2
附	2
副	2
傅	2
盖	2
甘	2
肝	2
杆	2
纲	2
钢	2
岗	2
港	2
糕	2
稿	2
割	2
革	2
隔	2
攻	2
供	2
宫	2
巩	2
贡	2
沟	2
狗	2
构	2
购	2
估	2
孤	2
谷	2
股	2
骨	2
鼓	2
固	2
瓜	2
刮	2
拐	2
官	2
贯	2
冠	2
逛	2
归	2
轨	2
鬼	2
柜	2
跪	2
滚	2
锅	2
含	2
寒	2
汗	2
憾	2
航	2
毫	2
豪	2
耗	2
核	2
盒	2
贺	2
狠	2
恨	2
横	2
衡	2
宏	2
洪	2
猴	2
厚	2
乎	2
呼	2
胡	2
壶	2
糊	2
虎	2
户	2
滑	2
怀	2
缓	2
幻	2
患	2
慌	2
皇	2
灰	2
挥	2
恢	2
辉	2
悔	2
毁	2
汇	2
绘	2
惠	2
慧	2
昏	2
混	2
伙	2
货	2
获	2
击	2
圾	2
肌	2
激	2
吉	2
即	2
疾	2
辑	2
籍	2
挤	2
季	2
迹	2
既	2
夹	2
佳	2
嘉	2
甲	2
驾	2
尖	2
肩	2
艰	2
监	2
兼	2
捡	2
减	2
剪	2
剑	2
舰	2
渐	2
践	2
鉴	2
键	2
箭	2
江	2
奖	2
降	2
酱	2
郊	2
骄	2
胶	2
焦	2
