HGJ_level_1.1_Word	HGJ_level_1.2_Word	HGJ_level_1.3_Word	HGJ_level_2_Word	HGJ_level_3_Word	HGJ_level_4_Word		
安全	爱	爱情	阿姨	阿拉伯语	挨家挨户		
八	爱好	爱人	啊	哎	爱不释手		
把	安静	爱心	挨	哎呀	爱理不理		
爸	把	安排	挨打	哀求	爱面子		
爸爸	班	安装	矮	挨着	碍事		
吧	班长	按	矮小	癌	安稳		
白	办	按照	爱国	癌症	暗地里		
白天	办法	把握	爱护	艾滋病	熬夜		
百	办公室	白	安	唉	巴不得		
半	半年	白菜	安检	爱惜	靶子		
半天	包子	白酒	安慰	安定	罢休		
帮	保护	白人	安置	安抚	掰		
帮忙	报名	白色	岸	安眠药	百分比		
帮助	报纸	板	岸边	安宁	百合		
包	抱	办理	岸上	安心	百科全书		
北	杯	半夜	按摩	安逸	摆平		
北边	杯子	保	按时	按键	摆设		
本	背	保安	案子	按理说	拜会		
本子	北京	保持	暗	按说	拜见		
比	背	保存	暗示	案件	扳		
别	被	保留	巴士	暗杀	半边天		
别的	比较	保险	拔	暗中	半途而废		
别人	比赛	保证	罢工	昂贵	半信半疑		
病	笔	报	罢了	凹	半真半假		
病人	笔记本	报到	白领	熬	帮手		
不	必须	报导	白云	傲	磅		
才	边	报道	百分点	傲慢	包袱		
菜	变	报告	百货	奥秘	包干儿		
茶	变成	北部	摆	奥运会	煲		
差	遍	北方	摆动	八卦	宝藏		
差不多	表	背	摆脱	扒	保鲜		
长	表示	背后	败	芭蕾	保质期		
常	表演	被子	拜访	把柄	保重		
常常	并且	本来	班级	把关	抱负		
场	不错	本领	搬	把手	豹		
唱	不但	本事	搬家	坝	暴风骤雨		
唱歌	不断	比方	版	罢免	暴力		
车	不对	比例 	办公	霸占	爆冷门		
车票	不够	比如	办事	白白	爆满		
车站	不太	比如说	办事处	柏树	悲欢离合		
吃	不要	必然	办学	摆放	备课		
吃饭	不用	必要	半决赛	拜年	本分		
出	补	变化	扮演	拜托	本意		
出来	不得不	变为	棒	颁布	笨蛋		
出去	不管	标题	傍晚	颁发	绷		
穿	不好意思	标准	包含	颁奖	绷带		
次	不仅	表达	包括	斑点	逼迫		
从	不久	表面	包围	搬迁	比比皆是		
从来	不如	表明	包装	板块	比试		
错	不少	表现	薄	办不到	碧绿		
打	不同	并	饱	半场	弊病		
打车	不行	并	宝	半岛	壁画		
打电话	不一定	播出	宝宝	半路	避难		
打开	部分	播放	宝贝	半数	避暑		
打球	菜单	不必	宝贵	扮	边远		
大	参观	不大	宝石	伴	编排		
大家	参加	不过	保健	伴侣	编造		
大学	草	不论	保密	伴随	鞭策		
大学生	层	补充	保守	伴奏	变幻莫测		
但是	曾经	不安	保卫	拌	辫子		
当	查	不光	保养	绑	标榜		
当然	长处	不满	报	绑架	标示		
到	长期	不一会儿	报答	榜样	标致		
得到	常见	布	报警	棒球	飙升		
地	常用	步	报刊	包裹	表白		
的	超过	部	报考	包容	表率		
得	超市	部门	抱歉	包扎	别具匠心		
等	车上	部长	抱怨	剥	别看		
地点	称	才能	暴风雨	饱和	彬彬有礼		
地方	成	采取	暴力	饱满	滨海		
地上	成功	采用	暴露	宝库	缤纷		
第二	成绩	彩色	暴雨	保管	冰山		
第	成为	草地	爆	保姆	秉承		
点	城市	产量	爆发	保暖	并行		
电	重新	产生	爆炸	保修	波澜		
电话	出发	长城	背包	保佑	不亚于		
电脑	出口	厂	悲惨	保障	不亦乐乎		
电视	出生	场合	悲剧	堡垒	不翼而飞		
电视机	出现	场所	悲伤	报仇	不正之风		
东	出租	超级	北风	报酬	不耻下问		
东边	出租车	朝	北极	报废	不辞而别		
东西	初级	车辆	背景	报复	不得而知		
动	初中	车主	背心	报社	不假思索		
都	除了	称为	背着	报亭	不可思议		
对	船	成果	倍	报销	不了了之		
对	窗子	成就	被动	暴躁	不起眼		
对不起	床	成立	被告	曝光	不如说		
多	吹	成熟	被迫	爆竹	不同寻常		
多少	春节	成员	辈	卑鄙	不为人知		
饿	春天	成长	奔跑	悲哀	不相上下		
儿子	词	承认	本	悲观	不以为然		
二	词典	城	本地	悲痛	不由自主		
饭	村	程度	本科	碑	不约而同		
饭店	存	持续	本期	贝壳	不知不觉		
方便	错误	冲	本人	备受	猜谜		
方便面	答应	充满	本身	备用	裁定		
方向	达到	重	本土	背面	采矿		
房间	打工	重复	本质	背叛	参见		
房子	打算	出国	笨	背诵	参军		
放	打印	出口	逼	被捕	残缺		
放假	大部分	出门	鼻子	奔波	惨白		
飞	大多数	出院	比分	奔赴	惨痛		
飞机	大概	初	比重	本能	沧桑		
非常	大声	初一	彼此	本钱	藏匿		
分	大小	初步	笔记	本色	藏身		
该	大约	处理	笔试	本性	操劳		
干	大夫	传	必	本着	槽		
干净	代表	传播	必将	奔	层出不穷		
干	带	传来	必修	笨重	蹭		
干什么	带来	传说	必需	崩溃	差额		
刚	但	创新	毕竟	蹦	插手		
刚才	蛋	创业	毕业	逼近	茶道		
刚刚	刀	创造	毕业生	逼真	诧异		
高	倒	创作	闭	鼻涕	掺		
高兴	到处	从前	闭幕	比不上	搀		
哥哥	到达	从事	闭幕式	比起	馋		
哥	倒	从小	避	比喻	禅杖		
歌	道	存款	避免	鄙视	猖狂		
个	道理	存在	边境	必不可少	长效		
给	道路	打破	边缘	必定	长足		
跟	得	打听	编	弊端	常理		
更	的话	大大	编辑	边疆	常态		
工人	灯	大规模	编制	边界	常温		
工作	等	大姐	扁	编号	嫦娥		
关	等于	大量	变动	编剧	畅谈		
贵	低	大妈	变更	编写	朝代		
国	低下	大人	变换	鞭炮	嘲弄		
国家	地铁	大象	变形	贬值	吵嘴		
过	地图	大衣	便	变革	彻夜		
过来	弟	大众	便利	变迁	撤换		
还	弟弟	大自然	便是	变异	沉甸甸		
还是	点头	代	便条	变质	沉闷		
还有	电影	代	便于	便道	沉稳		
孩子	电影院	代表团	遍地	便饭	成才		
汉语	掉	带动	辩论	便捷	成家		
汉字	定	带领	标志	便利店	成千上万		
好	冬天	单位	表格	遍布	成群结队		
好吃	懂	当初	表面上	辨别	成型		
好看	动物	当地	表情	辨认	诚心诚意		
好听	读	当时	表扬	辨	诚挚		
