Char	Stroke
龘	48
靐	39
齉	36
齾	35
爩	33
鱻	33
麤	33
龗	33
灪	32
籲	32
龖	32
厵	30
癵	30
籱	30
饢	30
驫	30
鱺	30
鸝	30
鸞	30
灩	30
麣	30
纞	29
虋	29
讟	29
钃	29
靏	29
韊	29
驘	29
驪	29
鬱	29
鱹	29
鸜	29
麷	29
囖	28
戇	28
欞	28
欟	28
爧	28
癴	28
豔	28
躨	28
鑿	28
钀	28
钁	28
钂	28
钄	28
雧	28
驨	28
鸘	28
鸙	28
鸚	28
鸛	28
麢	28
黸	28
鼺	28
齼	28
齽	28
龞	28
爨	28
灥	27
灧	27
灨	27
犫	27
纜	27
纝	27
虌	27
蠽	27
蠾	27
蠿	27
讜	27
讝	27
讞	27
豓	27
貜	27
躩	27
軉	27
鑻	27
鑼	27
鑽	27
鑾	27
靋	27
靌	27
靍	27
靎	27
顳	27
飍	27
飝	27
饠	27
饡	27
馫	27
驤	27
驦	27
驧	27
驩	27
鬤	27
鬮	27
鬰	27
鱷	27
鱸	27
鸕	27
鸖	27
鸗	27
黷	27
齈	27
圞	26
欜	26
氎	26
灎	26
灤	26
灦	26
癳	26
矚	26
籯	26
籰	26
糳	26
糷	26
虊	26
虪	26
蠼	26
讚	26
趲	26
躦	26
躧	26
躪	26
轥	26
釁	26
釃	26
釄	26
釅	26
鑴	26
鑶	26
鑷	26
鑸	26
鑹	26
鑺	26
靊	26
顴	26
飌	26
驠	26
驡	26
驢	26
驣	26
驥	26
鱱	26
鱲	26
鱳	26
鱵	26
鸓	26
鸔	26
黶	26
鼊	26
龤	26
囔	25
壪	25
廳	25
彠	25
戅	25
戆	25
攮	25
斸	25
曯	25
欖	25
欘	25
欙	25
欚	25
欛	25
欝	25
灢	25
灣	25
爥	25
爦	25
犪	25
矘	25
矡	25
籫	25
籭	25
籮	25
糶	25
纘	25
纙	25
纚	25
纛	25
臠	25
臡	25
蠻	25
襽	25
覊	25
觿	25
讗	25
讘	25
讙	25
讛	25
豒	25
躡	25
躢	25
躣	25
躥	25
鑭	25
鑯	25
鑰	25
鑱	25
鑲	25
鑳	25
鑵	25
靉	25
韉	25
顱	25
顲	25
