index	Char	Pinyin	Bujian
0	娭	ā	4
1	扺	ā	3
2	啊	ā	5
3	阿	ā	4
4	埃	āi	4
5	挨	āi	4
6	哎	āi	3
7	唉	āi	4
8	哀	āi	4
9	皑	ái	4
10	癌	ái	6
11	蔼	ǎi	5
12	矮	ǎi	4
13	艾	ài	1
14	碍	ài	5
15	爱	ài	4
16	隘	ài	5
17	鞍	ān	4
18	氨	ān	4
19	安	ān	3
20	俺	ǎn	4
21	按	àn	4
22	暗	àn	3
23	岸	àn	4
24	胺	àn	4
25	案	àn	4
26	肮	āng	4
27	昂	áng	4
28	盎	àng	3
29	凹	āo	1
30	敖	áo	3
31	熬	āo	4
32	翱	áo	5
33	袄	ǎo	3
34	傲	ào	4
35	奥	ào	4
36	懊	ào	5
37	澳	ào	5
38	芭	bā	3
39	捌	bā	5
40	扒	bā	3
41	叭	bā	3
42	吧	bɑ	3
43	笆	bā	3
44	八	bā	1
45	疤	bā	3
46	巴	bā	1
47	拔	bá	3
48	跋	bá	3
49	靶	bǎ	3
50	把	bǎ	3
51	耙	bà	3
52	坝	bà	3
53	霸	bà	4
54	罢	bà	3
55	爸	bà	3
56	白	bái	1
57	柏	bǎi	3
58	百	bǎi	3
59	摆	bǎi	4
60	佰	bǎi	3
61	败	bài	3
62	拜	bài	3
63	稗	bài	3
64	斑	bān	4
65	班	bān	4
66	搬	bān	4
67	扳	bān	4
68	般	bān	3
69	颁	bān	4
70	板	bǎn	4
71	版	bǎn	4
72	扮	bàn	4
73	拌	bàn	3
74	伴	bàn	3
75	瓣	bàn	4
76	半	bàn	1
77	办	bàn	1
78	绊	bàn	3
79	邦	bāng	3
80	帮	bāng	4
81	梆	bāng	4
82	榜	bǎng	3
83	膀	bǎng	3
84	绑	bǎng	4
85	棒	bàng	4
86	磅	bàng	3
87	蚌	bàng	3
88	镑	bàng	3
89	傍	bàng	3
90	谤	bàng	3
91	苞	bāo	4
92	胞	bāo	4
93	包	bāo	3
94	褒	bāo	6
95	剥	bāo	4
96	薄	báo	5
97	雹	báo	4
98	保	bǎo	4
99	堡	bǎo	5
100	饱	bǎo	4
101	宝	bǎo	3
102	抱	bào	4
103	报	bào	3
104	暴	bào	5
105	豹	bào	3
106	鲍	bào	4
107	爆	bào	6
108	杯	bēi	3
109	碑	bēi	3
110	悲	bēi	3
111	卑	bēi	2
112	北	běi	2
113	辈	bèi	3
114	背	bēi	3
115	贝	bèi	1
116	钡	bèi	3
117	倍	bèi	4
118	狈	bèi	3
119	备	bèi	3
120	惫	bèi	4
121	焙	bèi	4
122	被	bèi	3
123	奔	bēn	4
124	苯	běn	3
125	本	běn	3
126	笨	bèn	3
127	崩	bēng	4
128	绷	bēng	4
129	甭	béng	3
130	泵	bèng	3
131	蹦	bèng	5
132	迸	bèng	4
133	逼	bī	6
134	鼻	bí	4
135	比	bǐ	2
