huayu1_Word	huayu2_Word	huayu3_Word	huayu4_Word	huayu5_Word	huayu6_Word	huayu7_Word
我	男	姓名	出生	阿姨	哎呀	挨
你	女	公园	国	哎	哎哟	欸
他/她	孩子	国家	不同	唉	爱好	爱戴
我们	小姐	城市	地址	爱	爱好	爱国
你们	先生	街	市	爱情	爱护	艾滋病
他们/她们	太太	电子邮件	传真	爱惜	爱人	安顿
您	女儿	结婚	留言	爱心	安慰	安抚
谁	儿子	小时	日期	安定	安装	安宁
人	大家	点钟	时间	安排	按	安详
中国	路	分	钟头	安排	按时	安置
美国	手机	分钟	晚	安心	暗	暗暗
日本	号码	天	夜	按	暗中	案件
台湾	明年	夏天	礼拜	按照	肮脏	案情
名字	去年	冬天	礼拜天	巴士	熬	案子
家	生日	秋天	前天	把	拔	按摩
电话	月	春天	后天	把握	把	昂贵
现在	日	年轻	从前	白	把握	奥妙
今年	星期	老	夏	白	罢工	懊恼
今天	星期天/星期日	男生	冬	白	罢了	八卦
明天	周末	女生	秋	白菜	摆脱	八字
昨天	号	小孩	春	白天	败	把
早上	天	家人	一会儿	摆	拜	把持
上午	从	紧张	不久	百货公司	拜拜	把手
中午	在	可爱	刚刚	班机	拜访	白皮书
下午	笑	胖	刚才	搬家	拜年	拜会
晚上	爱	矮	当然	办	拜托	颁发
一	好看	瘦	自己	办理	般	颁奖
二	快乐	千	别人	半天	班	办案
三	太	万	年纪	半夜	班长	半岛
四	非常	在	男人	帮助	搬运	半导体
五	工作	办公室	女人	榜样	拌	帮
六	医生	工厂	大人	棒	半路	绑
七	医院	工人	老人	包	半数	包袱
八	公司	护士	习惯	包含	办公	包围
九	卖	司机	习惯	宝贝	办事	宝
十	准备	老板	家庭	宝贵	扮演	宝贝
零	一点(儿)	同事	父亲	保护	傍晚	宝石
两	一些	上班	母亲	保守	磅	饱和
时候	本	小学	父母	保养	棒	饱满
百	张	上学	爷爷	保证	棒子	保安
半	中学	作业	奶奶	保证	包裹	保管
爸爸	年级	功课	关系	抱	包括	保龄球
妈妈	英文	请假	教堂	抱怨	包装	保姆
哥哥	纸	考试	好	报名	包装	保全
弟弟	问题	教室	真	背包	保	保险
姐姐	意思	洗手间/厕所	最	北方	保持	保佑
妹妹	图书馆	语言	更	被动	保存	保重
的	数学	科学	愉快	背后	保留	报案
第	历史	华语/华文	开心	背景	保卫	报表
分	餐厅/饭馆	黑板	着急	辈子	保障	报酬
点	学习	课本	担心	本	保障	报导
个	参加	句子	生气	本人	宝宝	报复
岁	画	注意	怕	本子	抱	报关
年	读	读书	哭	笨	报	报价
住	会	回答	难过	逼	报仇	报刊
来	有趣	休息	伤心	笔	报答	报应
是	为什么	决定	美	比	报导	报章
姓	下课	图片	美丽	比如(说)	报到	暴力
觉得	说话	画/画儿	聪明	毕竟	报警	暴雨
喜欢	考试	记得	认真	避免	报社	爆发
打电话	懂	房间	勇敢	必要	暴力	抱负
高兴	天气	厨房	礼貌	鞭炮	暴躁	抱歉
漂亮	房子	窗/窗户	害羞	变	爆炸	碑
高	门	楼	应该	变成	悲剧	悲哀
好	山	楼上	相信	变更	悲痛	悲观
很	客厅	楼下	经验	变化	倍	贝壳
真	河	电梯	关心	变化	备	倍数
计算机	狗	家具	辛苦	便条	背面	背诵
老师	花	椅子	愿意	标准	奔	背心
买	风	桌(子)	心情	标准	奔跑	被子
忙	海	沙发	幸福	表	本来	奔腾
学生	鱼	床	可怜	表达	本领	本
大学	树	关	差	表面	本身	本事
学校	开	冷气(机)	职业	表示	本土	本位
字	冷	安静	教师	表现	笨重	本性
笔	热	不错	经理	表现	比	本质
学	洗澡	海边	记者	表演	比方	崩溃
问	咖啡	湖	服务员/服务生	别的	比方(说)	甭
说	茶	马	顾客	冰	比较	敝
写	生活	鸟	教书	冰块/冰块儿	比较	必
听	用	猫	开会	饼	比例	编辑
练习	洗	鸡	下班	病	彼此	编辑
能	穿	太阳	危险	伯伯	笔	编写
