Word	Level
我	1
你	1
他	1
她	1
我们	1
你们	1
他们	1
她们	1
您	1
谁	1
人	1
中国	1
美国	1
日本	1
台湾	1
名字	1
家	1
电话	1
现在	1
今年	1
今天	1
明天	1
昨天	1
早上	1
上午	1
中午	1
下午	1
晚上	1
一	1
二	1
三	1
四	1
五	1
六	1
七	1
八	1
九	1
十	1
零	1
两	1
时候	1
百	1
半	1
爸爸	1
妈妈	1
哥哥	1
弟弟	1
姐姐	1
妹妹	1
的	1
第	1
分	1
点	1
个	1
岁	1
年	1
住	1
来	1
是	1
姓	1
觉得	1
喜欢	1
打电话	1
高兴	1
漂亮	1
高	1
好	1
很	1
真	1
计算机	1
老师	1
买	1
忙	1
学生	1
大学	1
学校	1
字	1
笔	1
学	1
问	1
说	1
写	1
听	1
练习	1
能	1
可以	1
上课	1
知道	1
电视	1
电视机	1
水	1
再	1
书	1
电影	1
以前	1
以后	1
走	1
等	1
看	1
什么	1
朋友	1
东西	1
吧	1
呢	1
吗	1
找	1
做	1
再见	1
怎么样	1
叫	1
谢谢	1
对不起	1
请问	1
这	1
那	1
公共汽车	1
公交车	1
车	1
车子	1
到	1
去	1
回	1
坐	1
开车	1
钱	1
多少	1
给	1
贵	1
便宜	1
大	1
小	1
难	1
容易	1
有	1
想	1
几	1
块	1
饭	1
吃	1
请	1
也	1
不	1
没	1
都	1
只	1
可是	1
还是	1
了	1
得	1
过	1
男	2
女	2
孩子	2
小姐	2
先生	2
太太	2
女儿	2
儿子	2
大家	2
路	2
手机	2
号码	2
明年	2
去年	2
生日	2
月	2
日	2
星期	2
星期天	2
星期日	2
周末	2
号	2
天	2
从	2
在	2
笑	2
爱	2
好看	2
快乐	2
太	2
非常	2
工作	2
医生	2
医院	2
公司	2
卖	2
准备	2
一点	2
一点儿	2
一些	2
本	2
张	2
中学	2
年级	2
英文	2
纸	2
问题	2
意思	2
图书馆	2
数学	2
历史	2
餐厅	2
饭馆	2
学习	2
参加	2
画	2
读	2
会	2
有趣	2
为什么	2
下课	2
说话	2
考试	2
懂	2
天气	2
房子	2
门	2
山	2
客厅	2
河	2
狗	2
花	2
风	2
海	2
鱼	2
树	2
开	2
冷	2
热	2
洗澡	2
咖啡	2
茶	2
生活	2
用	2
洗	2
穿	2
起床	2
方便	2
睡觉	2
先	2
常常	2
每	2
次	2
音乐	2
票	2
照片	2
打	2
玩	2
跑	2
运动	2
开始	2
走路	2
唱歌	2
信	2
喂	2
介绍	2
换	2
认识	2
没关系	2
怎么	2
哪	2
哪里	2
哪儿	2
这里	2
这儿	2
那里	2
那儿	2
上	2
上面	2
下
下面	2
下边
外	2
外面	2
前	2
前面	2
后	2
后面	2
右边	2
左边	2
旁边	2
中间	2
地铁	2
地方	2
附近	2
离	2
往	2
送	2
带	2
放	2
拿	2
过	2
进来	2
出去	2
站	2
快	2
慢	2
近	2
远	2
手	2
身体	2
眼睛	2
药	2
累	2
双	2
元	2
鞋子	2
裤子	2
市场	2
衣服	2
比	2
要	2
长	2
新	2
一样	2
好吃	2
件	2
杯	2
瓶	2
菜	2
苹果	2
肉	2
酒	2
喝	2
少	2
多	2
一起	2
因为	2
和	2
所以	2
跟	2
着	2
可能	2
姓名	3
公园	3
国家	3
城市	3
街	3
电子邮件	3
结婚	3
小时	3
点钟	3
分	3
分钟	3
天	3
夏天	3
冬天	3
秋天	3
春天	3
年轻	3
老	3
男生	3
女生	3
小孩	3
家人	3
紧张	3
可爱	3
胖	3
矮	3
瘦	3
千	3
万	3
在	3
办公室	3
工厂	3
工人	3
护士	3
司机	3
老板	3
同事	3
上班	3
小学	3
上学	3
作业	3
功课	3
请假	3
考试	3
教室	3
洗手间	3
厕所	3
语言	3
科学	3
华语	3
华文	3
黑板	3
课本	3
句子	3
注意	3
读书	3
回答	3
休息	3
决定	3
图片	3
画	3
画儿	3
记得	3
房间	3
厨房	3
窗	3
窗户	3
楼	3
楼上	3
楼下	3
电梯	3
家具	3
椅子	3
桌	3
桌子	3
沙发	3
床	3
关	3
冷气	3
冷气机	3
安静	3
不错	3
海边	3
湖	3
马	3
鸟	3
猫	3
鸡	3
太阳	3
下雨	3
下雪	3
新年	3
运动	3
游泳	3
踢	3
足球	3
篮球	3
网球	3
棒球	3
比赛	3
比赛	3
骑	3
脚踏车	3
自行车	3
跑步	3
电影院	3
表演	3
上网	3
输	3
赢	3
有时候	3
久	3
报纸	3
不客气	3
礼物	3
欢迎	3
晚会	3
信封	3
寄	3
接	3
邮局	3
银行	3
警察	3
坏	3
帮忙	3
出租车	3
车站	3
火车	3
飞机	3
飞机场	3
机场	3
马路	3
十字路口	3
对面	3
里面	3
旅行	3
饭店	3
旅馆	3
参观	3
地图	3
照相机	3
照相	3
风景	3
头	3
头发	3
耳朵	3
手指	3
手指头	3
肚子	3
健康	3
感冒	3
生病	3
受伤	3
饿	3
渴	3
舒服	3
眼镜	3
痛	3
希望	3
商店	3
店	3
重要	3
给	3
公斤	3
颜色	3
黄色	3
白色	3
袜子	3
裙子	3
短	3
小心	3
牛奶	3
蛋	3
饺子	3
面	3
汤	3
包子	3
蛋糕	3
面包	3
水果	3
香蕉	3
食物	3
饮料	3
果汁	3
杯子	3
多	3
甜	3
菜单	3
巧克力	3
碗	3
盘子	3
片	3
一半	3
一半儿	3
过	3
一定	3
出生	4
国	4
不同	4
地址	4
市	4
传真	4
留言	4
日期	4
时间	4
钟头	4
晚	4
夜	4
礼拜	4
礼拜天	4
前天	4
后天	4
从前	4
夏	4
冬	4
秋	4
春	4
一会儿	4
不久	4
刚刚	4
刚才	4
当然	4
自己	4
别人	4
年纪	4
男人	4
女人	4
大人	4
老人	4
习惯	4
习惯	4
家庭	4
父亲	4
母亲	4
父母	4
爷爷	4
奶奶	4
关系	4
教堂	4
好	4
真	4
最	4
更	4
愉快	4
开心	4
着急	4
担心	4
生气	4
怕	4
哭	4
难过	4
伤心	4
美	4
美丽	4
聪明	4
认真	4
勇敢	4
礼貌	4
害羞	4
应该	4
相信	4
经验	4
关心	4
辛苦	4
愿意	4
心情	4
幸福	4
可怜	4
差	4
职业	4
教师	4
经理	4
记者	4
服务员	4
服务生	4
顾客	4
教书	4
开会	4
下班	4
危险	4
安全	4
安全	4
成功	4
报告	4
报告	4
打算	4
机会	4
当	4
如果	4
计划	4
计划	4
努力	4
管理	4
学院	4
小学生	4
大学生	4
同学	4
校长	4
放假	4
毕业	4
开学	4
成绩	4
学期	4
学费	4
暑假	4
寒假	4
服务	4
宿舍	4
操场	4
校园	4
中文	4
