hsk1_Word	hsk2_Word	hsk3_Word	hsk4_Word	hsk5_Word	hsk6_Word
爱	吧	阿姨	爱情	哎	挨
八	白	啊	安排	唉	癌症
爸爸	百	矮	安全	爱护	爱不释手
杯子	帮助	爱好	按时	爱惜	爱戴
北京	报纸	安静	按照	爱心	暧昧
本	比	把	百分之	安慰	安宁
不	别	班	棒	安装	安详
不客气	宾馆	搬	包子	岸	安置
菜	长	办法	保护	暗	按摩
茶	唱歌	办公室	保证	熬夜	案件
吃	出	半	报名	把握	案例
出租车	穿	帮忙	抱	摆	暗示
打电话	次	包	抱歉	办理	昂贵
大	从	饱	倍	傍晚	凹凸
的	错	北方	本来	包裹	熬
点	打篮球	被	笨	包含	奥秘
电脑	大家	鼻子	比如	包括	巴不得
电视	到	比较	毕业	薄	巴结
电影	得	比赛	遍	宝贝	扒
东西	等	笔记本	标准	宝贵	疤
都	弟弟	必须	表格	保持	拔苗助长
读	第一	变化	表示	保存	把关
对不起	懂	别人	表演	保留	把手
多	对	冰箱	表扬	保险	罢工
多少	房间	不但……而且……	饼干	报到	霸道
儿子	非常	菜单	并且	报道	掰
二	服务员	参加	博士	报告	摆脱
饭店	高	草	不得不	报社	败坏
飞机	告诉	层	不管	抱怨	拜访
分钟	哥哥	差	不过	背	拜年
高兴	给	尝	不仅	悲观	拜托
个	公共汽车	超市	部分	背景	颁布
工作	公司	衬衫	擦	被子	颁发
狗	贵	成绩	猜	本科	斑
汉语	过	城市	材料	本领	版本
好	还	迟到	参观	本质	半途而废
号	孩子	除了	餐厅	比例	扮演
喝	好吃	船	厕所	彼此	伴侣
和	黑	春	差不多	必然	伴随
很	红	词典	长城	必要	绑架
后面	火车站	聪明	长江	毕竟	榜样
回	机场	打扫	场	避免	磅
会	鸡蛋	打算	超过	编辑	包庇
几	件	带	成功	鞭炮	包袱
家	教室	担心	成为	便	包围
叫	姐姐	蛋糕	诚实	辩论	包装
今天	介绍	当然	乘坐	标点	饱和
九	进	地	吃惊	标志	饱经沧桑
开	近	灯	重新	表达	保管
看	就	地方	抽烟	表面	保密
看见	觉得	地铁	出差	表明	保姆
块	咖啡	地图	出发	表情	保守
来	开始	电梯	出生	表现	保卫
老师	考试	电子邮件	出现	冰激凌	保养
了	可能	东	厨房	病毒	保障
冷	可以	冬	传真	玻璃	保重
里	课	动物	窗户	播放	报仇
六	快	短	词语	脖子	报酬
妈妈	快乐	段	从来	博物馆	报答
吗	累	锻炼	粗心	补充	报复
买	离	多么	存	不安	报警
猫	两	饿	错误	不得了	报销
没关系	零	耳朵	答案	不断	抱负
没有	路	发	打扮	不见得	暴力
米饭	旅游	发烧	打扰	不耐烦	暴露
名字	卖	发现	打印	不然	曝光
明天	慢	方便	打招呼	不如	爆发
哪	忙	放	打折	不要紧	爆炸
哪儿	每	放心	打针	不足	卑鄙
那	妹妹	分	大概	布	悲哀
呢	门	附近	大使馆	步骤	悲惨
能	面条儿	复习	大约	部门	北极
你	男	干净	大夫	财产	贝壳
年	您	感冒	戴	采访	备份
女儿	牛奶	感兴趣	当	采取	备忘录
朋友	女	刚才	当时	彩虹	背叛
漂亮	旁边	个子	刀	踩	背诵
苹果	跑步	根据	导游	参考	被动
七	便宜	跟	到处	参与	被告
