level01	level02	level03	level04
啊	阿	唉	蔼
矮	挨	哀	艾
爱	哎	癌	隘
安	按	碍	昂
吧	暗	熬	凹
八	岸	奥	袄
把	案	扒	芭
爸	傲	叭	捌
白	巴	坝	笆
百	拔	罢	疤
摆	败	柏	霸
班	拜	伴	掰
搬	版	瓣	斑
般	扮	绑	扳
板	榜	棒	颁
半	膀	磅	拌
办	傍	胞	邦
帮	薄	剥	谤
包	保	暴	雹
饱	宝	爆	堡
抱	碑	辈	卑
报	悲	奔	贝
杯	背	甭	狈
北	笨	彼	惫
倍	逼	辩	崩
备	鼻	柄	绷
被	毕	丙	蹦
本	币	菠	鄙
比	闭	拨	碧
笔	辟	波	蔽
必	壁	博	毙
边	避	勃	痹
便	编	怖	臂
变	扁	裁	弊
遍	标	财	鞭
表	宾	蚕	贬
别	兵	残	辨
病	冰	惭	辫
播	饼	惨	憋
不	并	灿	滨
布	玻	苍	秉
步	伯	舱	搏
部	脖	仓	舶
擦	膊	侧	泊
才	捕	铲	驳
彩	卜	颤	簸
菜	补	偿	埠
参	猜	畅	睬
操	材	钞	槽
草	踩	潮	蹭
层	采	炒	岔
茶	餐	扯	诧
查	藏	撤	搀
差	厕	尘	掺
产	策	陈	蝉
常	册	撑	馋
长	测	匙	谗
厂	曾	齿	缠
场	插	赤	阐
唱	叉	斥	昌
朝	察	酬	猖
车	拆	仇	敞
晨	柴	丑	嘲
城	尝	喘	臣
成	肠	串	辰
吃	倡	垂	呈
持	超	唇	惩
迟	抄	纯	澄
抽	吵	蠢	秤
初	彻	辞	痴
出	沉	瓷	驰
除	趁	囱	耻
楚	衬	匆	侈
础	称	丛	畴
处	乘	凑	踌
穿	程	窜	稠
船	诚	摧	筹
窗	承	搓	绸
床	池	挫	躇
吹	尺	逮	锄
礁	翅	耽	储
磁	充	旦	川
词	冲	诞	疮
次	虫	档	炊
从	崇	蹈	捶
村	愁	蹬	锤
错	臭	瞪	雌
答	厨	凳	慈
打	触	堤	葱
大	传	抵	粹
戴	闯	垫	翠
带	创	惦	磋
代	此	奠	瘩
单	刺	殿	歹
但	聪	雕	贷
蛋	粗	爹	怠
当	醋	蝶	丹
刀	促	丁	氮
倒	催	盯	荡
导	脆	钉	叨
到	存	陡	捣
道	寸	督	悼
得	措	毒	笛
的	搭	兑	涤
灯	达	哆	蒂
等	呆	俄	缔
低	袋	额	颠
地	待	恶	掂
第	担	尔	淀
弟	胆	罚	刁
点	淡	番	叼
典	弹	返	碟
电	挡	妨	叮
店	党	废	董
掉	岛	沸	栋
调	稻	氛	兜
定	盗	坟	睹
丢	德	粪	赌
东	登	峰	杜
冬	滴	疯	镀
懂	敌	缝	妒
动	底	讽	缎
都	帝	袱	跺
读	递	俯	舵
度	吊	缚	惰
短	钓	溉	堕
锻	跌	甘	峨
段	叠	缸	讹
对	顶	纲	恩
顿	订	岗	贰
多	冻	膏	伐
饿	洞	稿	阀
而	抖	鸽	帆
儿	斗	耕	贩
二	豆	宫	坊
发	逗	弓	芳
法	独	钩	肪
翻	堵	勾	匪
烦	肚	沟	诽
反	渡	辜	芬
饭	端	孤	锋
方	断	谷	奉
房	堆	股	凤
访	队	雇	敷
放	吨	寡	辐
非	蹲	乖	伏
啡	盾	灌	俘
飞	夺	归	抚
分	躲	轨	斧
丰	朵	柜	赴
封	鹅	棍	覆
风	耳	裹	赋
夫	乏	旱	腹
服	繁	憾	钙
福	凡	焊	竿
辅	范	豪	秆
府	犯	耗	冈
复	泛	呵	杠
傅	防	核	疙
父	仿	阂	阁
负	纺	痕	梗
富	肥	狠	恭
附	肺	横	躬
该	费	衡	汞
改	吩	洪	拱
概	纷	宏	菇
干	粉	喉	棺
感	奋	吼	瑰
敢	份	蝴	硅
刚	愤	哗	龟
钢	蜂	华	闺
高	逢	猾	桂
搞	佛	怀	函
告	否	缓	罕
哥	肤	患	捍
歌	扶	唤	浩
个	幅	幻	荷
各	符	荒	禾
给	浮	煌	恒
根	腐	晃	轰
跟	副	毁	哄
更	付	慧	烘
工	妇	汇	虹
公	咐	魂	瑚
共	盖	浑	葫
够	杆	肌	狐
姑	肝	饥	槐
故	赶	辑	徊
顾	港	籍	痪
刮	糕	疾	蝗
挂	搁	寂	凰
关	胳	佳	谎
观	割	甲	徽
馆	革	嫁	惠
惯	格	歼	贿
广	隔	监	秽
贵	攻	煎	绘
国	功	兼	豁
果	供	碱	惑
过	巩	荐	霍
哈	贡	鉴	祸
孩	狗	贱	讥
海	构	舰	吉
寒	购	溅	嫉
喊	估	僵	脊
汉	鼓	浆	剂
好	古	疆	忌
