HSK1_Word	HSK2_Word	HSK3_Word	HSK4_Word
啊	阿	哎哟	哀悼
啊	阿拉伯语/阿拉伯文	唉	哀求
矮	阿姨	挨	艾滋病
爱	挨	癌	爱戴
爱人	哎	安	爱面子
安静	哎呀	安定	爱惜
安排	爱好	安装	碍事
八	爱护	按期	安宁
把	爱情	暗暗	安稳
把	安全	熬	安详
爸爸	安慰	奥秘	安置
吧	安心	扒	按劳分配
白	按	把	暗淡
百	按时	把握	暗杀
摆	按照	坝	暗示
班	暗	罢	暗中
搬	岸	罢工	案
半	拔	白白	案件
半天	白	百货	案情
办	白菜	柏树	昂贵
办法	白天	摆脱	昂扬
办公室	败	拜访	凹
帮助	班长	拜会	袄
饱	板	般	芭蕾舞
抱	半导体	瓣	捌
报	半拉	半岛	疤
杯	半夜	办理	巴结
杯子	办公	帮	把柄
北	办事	绑	把关
北边	帮	棒	把手
倍	帮忙	棒	把戏
被	榜样	磅	霸道
本	傍晚	包袱	霸权
本子	包	包含	霸占
比	包	包围	掰
比较	包括	剥	白酒
比赛	包子	保管	百倍
笔	薄	保密	百分比
必须	保	保守	百花齐放
边	保持	保险	百家争鸣
变	保存	保障	摆动
变成	保护	宝	败坏
变化	保留	宝石	拜
遍	保卫	报	拜年
表	保证	报仇	斑
表示	宝贵	报酬	班机
表现	抱歉	报复	班子
表演	报到	报刊	搬运
表扬	报道/报导	报社	扳
别	报告	暴露	颁布
别的	报名	暴雨	颁发
别人	报纸	爆发	版
病	背	爆炸	扮
不	碑	悲哀	扮演
不错	悲痛	悲观	拌
不但	北部	辈	伴
不久	北方	背包	伴侣
不如	北面	背景	伴随
不同	背	背诵	伴奏
不要	背后	背心	半边天
不用	被子	被动	半截
布	本	被迫	半径
部分	本	奔	半路
擦	本来	奔跑	半数
才	本领	本人	半途而废
菜	本事	本身	半真半假
参观	本质	奔	办学
参加	笨	甭	绑架
操场	逼	比方	棒球
草	鼻子	笔试	包办
层	比例	彼此	包干儿
茶	比如	毕竟	包裹
查	笔记	闭幕	包装
差	毕业	必	雹子
常	闭	必定	保健
常常	必然	必修	保姆
长	必要	必需	保温
场	避	壁	保养
唱	避免	边疆	保重
朝	边…边…	边界	堡垒
车	编	边缘	饱和
车站	扁	编辑	饱满
城	便	编制	宝贝
城市	便条	便利	宝剑
成	遍	便于	宝库
成绩	标点	变动	抱负
吃	标准	变革	抱怨
迟到	表达	辩论	报答
抽	表面	标语	报考
出	表明	标志	报销
出发	宾馆	表情	暴动
出来	兵	别	暴风骤雨
出去	冰	别处	暴力
出现	饼干	别字	爆
出租汽车	病房	冰棍儿	爆破
除了…以外	病菌	柄	爆竹
穿	病人	丙	悲惨
船	并	饼	悲愤
窗	并	病床	悲剧
窗户	并且	病情	悲伤
床	玻璃	剥削	卑鄙
吹	伯父/伯伯	播	背面
春	伯母	播送	背叛
春天	脖子	拨	贝壳
磁带	捕	波浪	倍数
词	补	菠菜	备用
词典	补充	博士	被告
