PronAll	PronDemo	PronPers	PronPers_Firs	PronPers_Secd	PronPers_Thir	PronWhat
我	这	我	我	你	他	谁
你	这儿	你	我们	您	她	什么
您	这里	您	咱	你们	它	哪
他	这会儿	他	咱们	大家	他们	哪里
她	这些	她	自己	大伙儿	她们	哪儿
它	这样	它	自个儿	大家伙儿	它们	哪个
我们	这么样	我们	俺	各位	别人	哪会儿
你们	这么	你们	俺们	诸位	人家	哪门子
他们	那	他们	自身	彼此	他人	哪些
她们	那儿	她们	自家	各自	旁人	哪样
它们	那里	它们	本人	咱俩	某人	多会儿
咱	那会儿	咱	咱俩		该人	几时
咱们	那些	咱们	吾辈		某	几
大家	那样	大家	吾人		彼此	几何
大伙儿	那么样	大伙儿	吾等			几许
彼此	那么	彼此	我等			几时
自己	多么	自己	自我			几多
自个儿	这时	自个儿	各自			多少
别人	那时	别人	彼此			怎样
人家	此时	人家				怎么
俺	如此	俺				怎么样
俺们	此	俺们				怎么着
大家伙儿	某	大家伙儿				怎的
他人	每	他人				孰
旁人	各	旁人				何许
自身	另	自身				如何
自家	该	自家				何等
本人	其他	本人				何如
咱俩	其余	咱俩				何人
吾辈	任何	吾辈				何事
吾人	别的	吾人				何物
吾等	有的	吾等				何
我等	有些	我等				啥
各位	一切	各位				咋
诸位	其它	诸位				干吗
某人	其次	某人				
该人	另外	该人				
各自	彼	各自				
某	这个	某				
自我	这么些	自我				
这	这么点儿					
这儿	这阵儿					
这里	那么点儿					
这会儿	那么些					
这些	那阵儿					
这样	各个					
这么样	本身					
这么	某些					
那	首先					
那儿						
那里						
那会儿						
那些						
那样						
那么样						
那么						
多么						
这时						
那时						
此时						
如此						
此						
某						
每						
各						
另						
该						
其他						
其余						
任何						
别的						
有的						
有些						
一切						
其它						
其次						
另外						
彼						
这个						
这么些						
这么点儿						
这阵儿						
那么点儿						
那么些						
那阵儿						
各个						
本身						
某些						
谁						
什么						
哪						
哪里						
哪儿						
哪个						
哪会儿						
哪门子						
哪些						
哪样						
多会儿						
几时						
几						
几何						
几许						
几时						
几多						
多少						
怎样						
怎么						
怎么样						
怎么着						
怎的						
孰						
何许						
如何						
何等						
何如						
何人						
何事						
何物						
何						
啥						
咋						
干吗						
首先						
