Word	Meaning
吖	1
阿	2
阿鼻地狱	1
阿昌族	1
阿斗	1
阿尔茨海默病	1
阿尔法粒子	1
阿尔法射线	1
阿飞	1
阿伏伽德罗常量	1
阿公	3
阿訇	1
阿拉伯人	1
阿拉伯数字	1
阿兰若	1
阿罗汉	1
阿猫阿狗	1
阿门	1
阿片	1
阿婆	3
阿Q	1
阿是穴	1
阿嚏	1
阿姨	3
啊	7
锕	1
腌	1
嗄	1
哎	2
哎呀	2
哎哟	1
哀	4
哀兵必胜	1
哀愁	1
哀辞	1
哀悼	1
哀的美敦书	1
哀告	1
哀歌	2
哀号	1
哀嚎	2
哀鸿遍野	1
哀矜	1
哀苦	1
哀怜	1
哀鸣	1
哀戚	1
哀启	1
哀泣	1
哀切	1
哀求	1
哀荣	1
哀伤	1
哀思	1
哀叹	1
哀恸	1
哀痛	1
哀婉	1
哀艳	1
哀怨	1
哀乐	1
埃	1
埃博拉出血热	1
挨	3
挨边	3
挨次	1
挨个儿	1
挨肩儿	1
挨近	1
唉	1
唉声叹气	1
娭	1
欸	1
嗳	1
锿	1
挨板子	1
挨批	1
挨宰	1
挨整	1
█	1
皑	1
皑皑	1
癌	1
癌变	1
癌症	1
毐	1
嗳气	1
嗳酸	1
矮	3
矮半截	1
矮墩墩	1
矮小	1
矮星	1
矮子	1
蔼	1
蔼蔼	2
蔼然	1
霭	1
艾	2
艾蒿	1
艾虎	1
艾绒	1
艾窝窝	1
艾叶豹	1
艾鼬	1
艾滋病	1
砹	1
爱	5
爱不释手	1
爱…不…	1
爱财如命	1
爱巢	1
爱称	1
爱答不理	1
爱戴	1
爱抚	1
爱岗	1
爱国	1
爱国主义	1
爱好	3
爱河	1
爱护	1
爱将	1
爱克斯射线	1
爱怜	1
爱恋	1
爱侣	1
爱面子	1
爱莫能助	1
爱慕	2
爱情	1
爱人	2
爱神	1
爱斯基摩人	1
爱窝窝	1
爱屋及乌	1
爱惜	1
爱惜羽毛	1
爱小	1
爱心	1
爱欲	1
爱重	1
█尼	1
隘	2
隘口	1
隘路	1
碍	1
碍口	1
碍面子	1
碍难	2
碍事	2
碍手碍脚	1
碍眼	2
嗌	1
嫒	1
瑷	1
叆	1
暧	1
暧昧	2
厂	4
广	2
安	1
安邦定国	1
安保	1
安步当车	1
安瓿	1
安插	1
安厝	1
安抵	1
安定	2
安堵	1
安度	1
安顿	2
安放	1
安分	1
安分守己	1
安抚	1
安好	1
安家	2
安家立业	1
安家落户	1
安检	1
安静	2
安居	1
安居乐业	1
安康	1
安澜	2
安乐	1
安乐死	1
安乐窝	1
安乐椅	1
安理会	1
安谧	1
安眠	1
安眠药	1
安民告示	1
安宁	2
安排	1
安培	1
安培表	1
安培计	1
安贫乐道	1
安琪儿	1
安寝	1
安全	1
安全玻璃	1
