Char	Docfreq
禾	22
韵	145
惯	241
戌	1
肺	81
妊	1
槿	3
狝	3
锥	21
煦	19
踵	10
俘	7
蜘	7
楦	1
绕	251
央	87
踩	123
踽	5
祟	12
匪	16
狩	3
格	493
鄱	2
甜	286
摈	1
喇	29
阂	7
韬	4
确	398
钵	3
瑗	5
玺	2
痘	2
蜍	1
陂	2
眶	43
徘	58
基	254
黏	10
栊	1
蒌	1
西	1181
汴	2
痹	7
篁	3
太	1345
褒	3
终	1104
涓	13
传	643
诤	1
圾	49
谌	1
峄	3
佛	455
峪	7
蛐	6
不	8841
簿	13
辣	91
驶	84
泰	41
柄	16
塬	2
狞	12
选	382
觖	1
超	202
徇	2
靰	5
叠	97
噙	6
行	1861
绢	8
拢	34
叩	24
枉	28
安	1566
呵	152
磁	10
歉	69
谷	149
踅	2
蜜	127
乐	907
腌	11
草	605
嶂	11
戾	4
莠	1
餐	214
综	46
聂	3
汨	4
薯	28
喘	63
馅	20
佳	158
儋	2
帽	62
婳	1
鹳	4
吕	18
苗	76
晾	14
盛	353
犊	8
丕	1
伤	776
乒	5
扰	123
蛤	3
焰	41
眨	62
圪	4
维	189
杏	61
靠	410
戎	6
芯	9
蠕	8
番	162
缘	410
园	455
愚	44
锌	4
厂	198
蚱	5
我	7274
仄	10
卧	129
论	589
荻	4
谑	9
祛	5
岔	28
带	1336
踪	73
凹	18
柒	2
危	116
构	84
隧	25
䪨	1
剧	129
卞	10
爽	147
回	3068
跪	58
盏	73
咾	3
淖	5
洎	1
咏	22
龇	4
螃	12
声	1884
滥	33
倾	232
聋	18
镳	3
污	69
欠	94
冷	660
竿	25
叟	3
益	115
烘	12
靴	10
物	876
鞘	1
孰	8
妩	43
四	1052
戽	2
储	30
遍	284
著	102
粟	12
赅	1
咂	7
箭	38
獒	1
飕	8
厨	137
攘	19
当	2328
俨	21
戈	24
捕	60
悱	7
迪	280
烧	275
逶	9
够	577
素	248
竹	187
助	259
麻	302
铳	1
趄	5
宪	5
粹	41
瘦	141
绪	259
故	682
梢	51
瓶	146
主	994
按	269
脒	1
紧	722
跶	2
翼	82
疾	93
挞	1
尿	30
邑	6
铸	29
虹	54
擼	1
冦	1
偬	2
挖	83
怅	73
惺	13
邹	8
遒	2
涎	12
印	305
墩	11
康	141
知	2694
柠	4
苏	386
绎	52
赠	42
罪	121
织	180
妪	3
倘	43
阱	12
舌	94
掩	137
猛	163
校	433
喁	3
腾	216
毅	47
祉	2
村	741
辞	104
盼	142
昌	44
瞒	41
妓	4
筑	126
葆	1
莫	230
菲	40
立	824
枥	1
鸿	49
帚	15
拦	49
恩	161
摩	90
伙	361
秘	179
移	149
谓	234
讲	446
键	109
岸	237
脖	85
缈	24
霓	32
社	467
倦	140
信	960
岭	73
改	445
蔽	23
闩	2
奏	113
呀	381
踞	6
巫	12
癞	1
永	600
菁	1
剁	8
问	1578
掰	16
票	126
穹	24
揳	1
幔	4
湛	30
贩	32
茂	85
婬	1
樽	3
袜	18
凃	1
擞	11
蛏	1
砚	8
庆	133
碴	5
判	87
绣	33
稹	1
跨	68
溶	20
莹	254
奂	11
大	4996
筝	22
饪	4
勤	165
孵	5
奈	217
绒	26
旮	2
只	3627
炉	77
叉	23
揽	45
摹	11
伢	9
硝	11
讽	31
躇	21
地	4993
宁	258
伏	133
让	2525
庶	5
唧	10
建	448
放	1710
碰	183
棒	53
邮	39
汶	8
坆	1
丑	60
茄	7
游	555
鹫	2
雾	165
羲	5
筋	89
犟	2
酣	36
徙	5
旌	3
鳌	1
匡	4
篮	48
漶	2
馥	12
虞	15
弓	28
喧	104
栋	30
绉	3
普	178
傅	104
赖	87
鸶	1
笺	32
被	1875
抱	483
捻	18
琦	1
鲤	15
唆	8
巉	4
竟	620
搐	8
呼	511
诘	2
摒	4
擂	7
鹣	1
剃	11
古	585
潭	41
爹	63
瘠	16
匝	6
臆	7
泊	98
种	1944
薪	28
汤	178
槁	2
高	1737
叵	7
冀	21
腹	70
膘	2
泮	1
璟	1
幼	108
舜	6
饶	41
屎	26
褥	10
绊	33
脉	88
埃	63
偷	262
茭	1
纱	53
腋	4
梏	4
谗	1
砸	73
卫	147
棺	15
戮	4
溷	1
蔡	37
扇	111
啕	9
远	1528
扽	1
暂	180
睦	12
诱	102
丙	3
佝	5
贸	30
窿	8
赔	51
材	151
斗	250
怼	4
葺	4
舅	53
榫	2
嗫	2
闯	61
廿	2
辱	68
踌	22
芦	54
蟀	5
里	5411
过	4684
菅	2
疱	1
宏	108
贯	50
掷	11
膏	18
囧	2
旬	21
苇	51
瀚	21
促	113
蒋	18
雪	474
虔	38
谟	2
舆	17
屏	81
丞	5
咚	38
蔚	25
吜	1
浃	4
塔	59
儆	2
狰	12
娃	68
霖	7
嗵	2
陆	97
腰	162
簸	15
赏	275
潺	39
忠	79
扈	1
竭	49
刚	818
约	402
切	832
悬	88
姹	22
郁	195
狭	34
舔	19
薨	1
绸	37
麑	1
猴	36
纤	32
唉	89
巡	117
配	216
霾	29
祭	61
懵	48
工	1208
鹞	1
恓	2
由	832
眸	143
肖	35
邓	12
色	1364
洒	209
鬼	159
鳄	5
妹	260
桦	4
迤	16
担	377
镛	1
贴	170
淇	10
豌	2
樵	6
尔	411
茎	21
拧	21
夺	102
栀	9
峙	13
次	1667
精	740
雳	8
犬	23
跄	11
钰	3
鲁	55
阗	2
骠	1
牟	6
阪	7
捭	1
隙	52
亵	5
姆	44
窗	428
堡	35
柜	99
蜓	11
懊	12
蓦	45
瘤	8
刖	1
残	256
茵	17
锉	1
唳	3
眉	247
薄	201
遏	13
锁	100
石	616
毋	11
强	714
鱼	225
嫡	1
抡	7
姨	88
菰	1
宕	15
沱	8
凸	24
刨	17
拈	18
荐	18
茶	274
夏	361
类	333
退	270
篱	29
占	155
殓	1
航	60
呜	50
辄	5
骚	38
桐	39
笼	109
畴	9
检	93
釉	3
面	2882
晨	266
沒	1
宿	176
耖	1
鲽	1
窝	171
睐	5
唷	2
周	600
棵	139
酬	25
悚	6
沥	37
铤	1
克	152
涵	113
唾	24
旋	125
稻	51
铺	205
箪	1
瑀	1
痰	7
揣	39
王	418
堆	178
壮	228
罕	35
帝	159
椅	85
渲	31
纭	3
磋	4
岛	65
蕊	39
鬐	1
器	178
相	1886
杳	9
疹	1
竞	50
廉	25
泛	144
孱	3
银	186
蓐	1
瑟	62
叱	2
涧	21
熔	9
筠	1
椒	35
舐	3
乌	94
祁	3
獾	1
缯	2
黧	1
连	989
谬	5
糯	8
岐	1
羨	1
给	2533
骋	8
搽	2
琅	18
烂	250
坚	460
鸭	73
夸	77
钿	1
锱	2
瞑	3
摧	29
栉	5
幛	1
遭	103
黑	560
股	208
淆	6
畏	69
畦	13
糙	17
睹	39
侯	32
苓	1
撕	96
沧	162
赃	13
捡	84
汛	2
剑	81
赊	2
籁	18
等	1588
赦	5
喽	10
眈	7
民	674
揩	6
僻	27
骷	2
语	855
麓	14
暄	19
文	944
批	139
辉	214
套	228
魑	2
赡	11
冉	18
炕	43
葱	80
照	734
努	251
胀	18
去	4603
嗡	7
乖	60
扔	133
嵬	1
贫	123
蹇	2
忪	5
蹿	30
凰	21
蝶	84
崭	25
乘	130
仅	304
祼	1
饿	113
柩	2
彷	18
逸	69
昊	6
现	2497
忏	7
鏖	1
记	1460
极	478
惩	14
咧	43
钱	863
瘢	1
铧	1
垯	1
析	42
清	1623
迷	357
俏	37
饲	10
朽	22
熬	87
黯	49
哺	14
披	96
嫦	7
春	955
遛	6
谜	25
囫	7
桥	245
辘	14
憔	31
旷	60
州	180
郡	5
秒	97
非	841
淙	6
兽	52
纯	283
沅	4
窠	5
杵	3
漠	122
晴	112
琏	2
冽	30
忿	3
宥	1
瞭	2
骊	3
贱	28
桠	8
矩	31
击	229
止	388
售	57
删	15
婀	20
蜈	2
雇	11
汽	75
咎	4
识	628
哨	25
烛	41
要	4084
敞	52
偕	17
胜	407
汗	167
显	456
蕾	32
嗨	13
扣	69
伍	66
灵	749
怠	17
愉	80
佑	27
馍	24
邀	77
杌	1
淋	102
诧	23
骰	1
诚	207
峡	46
朦	92
逢	191
抵	108
疰	1
咩	2
舫	6
攒	46
笑	1747
来	6471
纳	109
镂	8
锨	2
姒	1
呕	18
帕	9
锵	8
迎	284
吁	21
霹	9
娉	9
灞	1
窈	8
衫	59
杮	2
痍	4
先	942
褁	1
找	1117
些	2204
诺	94
厄	7
蜕	21
皎	25
痞	4
井	94
枕	68
百	691
躁	102
询	66
滨	23
梁	165
黛	37
韩	316
卢	17
迁	135
寓	47
矬	1
愆	1
溢	140
婿	22
埽	1
紊	8
鞭	66
虏	7
憋	53
济	147
收	691
源	194
蛩	1
缮	7
隅	20
痧	2
逅	43
训	117
狠	113
齐	148
帜	11
打	2025
嫌	132
马	667
髻	9
虬	4
低	454
葚	5
蔫	12
顶	359
湘	22
幽	197
瘾	28
味	781
靓	20
婊	6
逝	184
朏	1
简	445
兆	21
贷	23
毙	11
弦	76
黄	685
镇	210
鸵	2
呆	210
濉	1
臂	75
蹦	57
囔	12
堕	18
铜	54
浤	1
审	48
掉	485
嵯	2
势	329
速	246
报	478
蚬	1
智	423
洛	25
谩	8
息	707
谭	40
弗	7
砒	3
搭	136
喝	483
抑	103
探	166
凡	233
恿	6
偿	54
降	147
粽	16
缚	18
辨	47
杨	214
僳	1
垮	12
丫	74
浇	55
旨	11
罔	5
僽	1
喋	6
互	203
龛	4
喑	1
囚	12
杠	13
获	246
袱	20
瞳	12
舂	1
腐	69
险	171
懿	5
葭	8
捋	7
堵	71
沔	1
屑	48
昵	12
俱	63
菇	4
膛	20
积	252
映	174
软	217
俐	12
葳	10
溯	13
捏	65
悖	6
颔	7
情	3053
浦	25
揍	31
浪	393
扺	1
纸	360
兑	22
线	450
议	210
醒	445
志	326
璀	41
独	691
然	3979
涤	38
窘	13
鹩	1
蓉	14
暖	578
撮	13
癖	6
惆	51
擅	25
讳	18
微	778
驯	13
妫	1
霏	22
鼐	1
伶	25
睁	125
瑙	5
男	695
挤	150
蒂	25
缸	28
坡	131
炫	26
荟	5
挝	3
笏	1
俸	2
煅	1
馆	221
湄	1
栅	13
漱	19
踏	225
落	1366
馀	1
箩	10
坨	7
个	6402
蚓	4
华	563
减	95
昨	286
芜	27
闾	3
响	553
森	48
夯	3
还	4288
巍	36
壖	1
师	598
蔑	17
鲈	3
倡	15
濠	1
毗	3
匿	14
喀	6
花	1911
表	739
滚	188
很	2694
驸	1
搀	16
忻	3
缙	1
偻	4
罄	1
米	368
揪	36
愠	1
醲	1
脆	181
崽	18
属	325
酌	22
啥	151
鉏	1
枳	3
易	474
裔	6
懦	20
抿	21
泞	25
策	87
造	394
七	425
鬟	2
傈	1
杰	74
缨	2
杭	13
亩	42
盥	2
岫	2
魅	59
嚏	4
颦	5
郑	54
沙	319
芝	24
沐	58
褂	3
哥	423
婶	17
叔	117
珠	170
遇	651
慕	120
纰	1
核	55
增	152
寻	434
搿	1
粱	17
殿	70
堑	9
蓍	1
愕	23
斑	136
旗	78
袈	1
宠	84
秾	1
纬	6
炮	80
吼	57
艰	175
桀	5
枯	128
籍	58
鞑	1
乙	11
孪	1
雉	1
痣	2
戳	30
豚	4
赳	1
袒	7
彳	2
邕	4
馒	18
锒	1
阻	120
遥	267
砣	1
玲	49
皱	118
郃	1
操	164
鹅	42
龊	7
枭	2
撂	15
泳	34
蛀	5
侩	1
除	421
另	373
触	230
邱	172
拮	6
糗	3
厌	120
呸	13
桩	28
聿	3
秩	27
剿	3
垠	8
叨	76
讨	233
挂	392
柰	1
摊	86
炯	6
芒	65
硅	1
萌	32
囿	2
留	1049
剂	31
怗	1
莆	1
侦	14
料	391
凿	22
尽	906
仨	12
久	734
秦	52
谏	6
女	1496
猜	100
运	485
逻	89
果	1398
伟	164
才	2094
唤	146
楔	3
倌	3
枝	279
焖	5
缭	29
龃	1
辰	109
龈	2
扎	175
撘	1
酥	29
曲	513
萦	51
顺	411
突	481
舷	5
祈	55
玩	485
艇	7
鹊	20
倜	2
都	4530
嗓	62
斥	48
贞	25
澄	35
痕	169
喻	32
跎	24
贺	26
风	1927
噻	4
莽	17
钧	31
虎	157
杀	211
屯	11
皖	1
橙	12
坯	17
诨	2
瓮	3
涔	7
膀	134
早	1138
牧	31
仑	10
栓	5
寸	93
究	359
怡	50
压	336
吻	70
变	1087
址	67
趁	87
龙	241
妄	37
埕	1
煤	40
飙	9
苒	16
朔	12
喂	99
再	2097
垒	24
昙	21
异	299
阜	2
氦	1
弟	312
洱	10
蹙	4
殄	1
脓	3
五	753
纠	96
岷	1
均	62
涟	55
凶	67
穗	17
毡	14
绚	69
躏	4
饷	1
熄	31
翅	78
霄	12
婚	321
嗖	16
袁	17
谎	52
桎	4
路	1691
枪	88
舒	237
澌	1
蒸	66
丧	107
埌	1
圹	2
梧	29
鸾	2
掬	24
急	526
阔	130
视	585
寡	41
唠	43
河	587
粥	37
奇	615
催	96
珍	323
千	827
庵	10
萏	1
祯	2
牌	175
达	410
抔	2
件	616
释	256
祷	31
堇	1
袭	105
跟	1335
潜	83
任	855
义	407
臼	5
鸣	177
轻	1150
稞	2
券	8
穿	681
啃	32
闺	33
婺	1
叮	67
瞄	21
山	1370
牍	1
怜	150
通	749
咕	66
侏	1
疡	1
蘼	4
飨	3
砧	1
腱	4
臣	56
劝	95
峰	136
冤	36
编	122
喾	1
组	191
箫	12
砖	88
谁	925
鬈	1
婵	4
蛹	4
徯	1
浜	2
翔	127
茏	17
腚	8
俭	21
胭	8
赘	7
谐	66
酽	3
乍	28
领	497
邃	24
墀	1
始	1061
绦	2
澜	51
译	35
谣	29
寤	1
坟	57
祗	1
累	325
愁	236
熨	8
额	102
噩	23
间	2653
钙	4
讪	14
爆	95
斟	24
锃	7
祀	16
翕	1
敕	2
鸬	1
娶	51
觉	1751
娴	37
鞠	17
郢	1
埋	158
晦	19
妈	847
菡	3
居	494
霍	22
棕	10
罅	4
嗟	5
架	237
艘	12
聒	3
弹	147
藩	4
京	181
嚼	53
蕉	21
癌	26
哗	59
腥	16
蓓	2
冢	4
猎	28
闳	1
歆	1
窑	43
片	943
靖	6
卜	30
湾	69
划	236
囊	40
杖	26
衅	6
嘚	4
凉	445
畔	87
润	198
链	34
啡	65
呢	1211
鲶	1
仡	1
僵	40
辟	22
盐	46
芩	1
殃	3
糁	2
咸	45
蓬	60
单	780
供	187
杂	296
螺	26
璧	12
骆	21
酮	1
俊	52
诛	8
汩	13
紫	111
尼	40
雩	1
闷	176
峥	6
随	938
梅	163
讷	7
老	2490
务	478
炭	28
滇	2
辍	9
帛	6
射	89
采	221
蛇	74
扶	125
痴	160
总	1449
保	627
顾	529
庐	15
淼	5
右	274
沁	53
悸	18
黝	13
诫	13
哈	176
率	98
蟑	2
耗	52
锻	35
谅	49
垴	3
阡	14
恁	4
暝	3
巽	1
求	620
旄	1
商	339
凝	164
昭	22
唐	148
前	2756
爿	1
藉	26
淌	112
哀	150
忖	8
违	87
棠	12
啊	1125
虾	28
咆	21
言	837
窥	25
舱	9
血	359
蜉	1
躹	1
傣	2
焕	16
螂	4
瞪	82
矍	5
祝	148
赞	156
啦	212
胶	31
槐	33
诶	5
韧	36
瓤	3
虑	200
筛	9
功	385
