Word	Docfreq
禾	4
做敢当	2
地导	1
肉眼	2
小方	3
郡国	1
香摈	1
慢吞吞	3
交加	1
钟繇	1
吝啬鬼	1
一茬	3
热流	2
微不足道	16
本金	4
驿动	4
今朝	5
蒲松龄	1
暗自勒	1
课题	2
水电站	2
铜质	1
生成	1
刚正不阿	2
张明华	3
世外	3
罩杯	1
锅盖	4
新老大	2
梁母	11
隐形	3
竹影舞	2
境遇	10
临沮	1
鼎极	1
这块	21
面食一绝	1
月辉	1
槽牙	1
赵家河村	1
摹仿	2
宅第	1
集贸市场	2
换换	1
预付金	1
瀚星	1
别有用心	1
发落	1
李贺	1
叩开	1
小明背	1
剥夺	8
横祸	1
终究	116
缩头	3
秋尾	1
姑妈	4
小倩	1
线条	12
道教	4
凸脑门	1
几何	12
昆明人	2
风格	45
次子	3
成文	3
午间	1
旅社	1
芦席棚	1
名闻利养	1
成群	11
杨玉环	4
念成	1
南浦	2
一路上	18
弘毅	1
拳极	1
玄武门	1
黛石	1
饭点	3
勤快	9
娇贵	4
旅店	3
卫建委	1
呢喃细语	2
大驾	3
意见	49
潜书	1
离异	2
斗打声	1
长青	1
封条	1
李成梁	1
书籍	29
阿黛尔法伯	1
幽远	3
点儿	144
花篮	1
耕织图	1
陪伴者	1
倒车镜	1
齐齐哈尔	1
油煎饼	1
笼统	1
纯金	3
姐夫	20
雨初	1
爱民车	1
血肉连	1
二者	6
明里	1
限速	3
低沉	5
饥肠	1
瞻关平	1
饭盆	1
滩扭	1
坚冰	5
修福兮	1
瑟瑟	14
座无虚席	1
生妙	1
寂莫	1
羞羞	1
嘴型	2
生意	67
百思不得其解	6
朱雀	2
眶	1
主角雨	1
开开黑	1
天蓝	1
坎坎坷坷	2
大楼	22
新型	2
静静	61
指不定	6
文化园	1
粉颜	1
黏	3
打道回府	7
玉结	1
门闩	2
畦里	1
御使	1
投影器	1
先前	12
神似	2
换件	2
发言	18
不得食	1
田里	14
幽雅	2
过年	74
名校生	1
容貌	3
冲明哲	2
妹纸	1
声形	1
密密缠捆	1
腻腻	2
薪酬	2
九曲	1
故障	1
优裕	4
购得	3
动手臂	1
边线	1
罪名	2
河南人	1
老少	4
呵出	1
天宫	3
去处	15
上古	4
巫峡	1
保健	4
淡淡画	1
什么样儿	1
先后	21
选项	1
不亢	1
柔美	13
暖呼呼	1
芦根	3
不由得笑	1
皮大哈	1
园林学家	1
双双	8
闹剧	4
台上	12
美闷	1
交谊舞	1
武都城	2
烟雾	8
并排	1
曾医见	2
歹说	1
么事	2
无米之炊	1
青石桥	1
堕落者	1
递递	1
参数	1
绘画	9
老天托	1
愧悔	1
鄂北	2
缝纫铺	1
无暇	21
段子	3
不规则	1
郁达夫	4
一边儿	4
村名	2
寂美	1
大都	36
乔忠	1
柄	6
智宝	1
名誓	1
追牛	1
字迹	10
沉香	5
冒失失	1
季香	1
知足心安	1
黄果树	4
装载	2
八十二	2
断虹霁雨	1
几亿	3
响声	11
