Word	index	level	score
动	a#触碰	1.0	1
碰	a#触碰	2.0	1
触动	a#触碰	3.0	1
触摸	a#触碰	3.0	1
碰撞	a#触碰	3.0	1
磕	a#触碰	4.0	1
打	b#打	1.0	1
打击	b#打	2.0	1
揍	b#打	4.0	1
敲	b#打	2.0	1
敲打	b#打	2.0	1
敲击	b#打	2.0	1
叩	b#打	4.0	1
捣	b#打	3.0	1
捶	b#打	4.0	1
钉	b#打	2.0	1
砸	b#打	2.0	1
夯	b#打	4.0	1
抽	b#打	2.0	1
摔	b#打	2.0	1
磕	b#打	4.0	1
拍	b#打	1.0	1
扑	b#打	1.0	1
拍打	b#打	2.0	1
鼓掌	b#打	2.0	1
扣	c#扣	2.0	1
摸	d#摸	1.0	1
挠	d#摸	2.0	1
抚摸	d#摸	2.0	1
摩挲	d#摸	4.0	1
搔	d#摸	4.0	1
压	e#压挤	1.0	1
挤	e#压挤	1.0	1
挤压	e#压挤	2.0	1
拥挤	e#压挤	2.0	1
按	f#按捏	1.0	1
指	f#按捏	3.0	1
捏	f#按捏	2.0	1
磨	g#磨碾	2.0	1
碾	g#磨碾	4.0	1
轧	g#磨碾	4.0	1
揉	h#揉搓	3.0	1
搓	h#揉搓	4.0	1
捻	h#揉搓	4.0	1
拔	i#拨	2.0	1
扒	i#拨	2.0	1
扳	i#拨	4.0	1
开	j#开关	1.0	1
打开	j#开关	1.0	1
敞开	j#开关	3.0	1
开启	j#开关	3.0	1
关	j#开关	1.0	1
合	j#开关	1.0	1
闭	j#开关	2.0	1
关闭	j#开关	2.0	1
封闭	j#开关	2.0	1
封	j#开关	3.0	1
拢	j#开关	3.0	1
锁	j#开关	2.0	1
拉	a#拉推	1.0	1
扯	a#拉推	2.0	1
绷	a#拉推	4.0	1
揪	a#拉推	4.0	1
拽	a#拉推	4.0	1
牵	a#拉推	2.0	1
牵引	a#拉推	3.0	1
拔	a#拉推	1.0	1
抽	a#拉推	2.0	1
拖	a#拉推	2.0	1
推	a#拉推	1.0	1
推搡	a#拉推	4.0	1
折	b#折掰	2.0	1
掰	b#折掰	3.0	1
采	c#采摘	1.0	1
摘	c#采摘	1.0	1
采摘	c#采摘	2.0	1
扒	d#剥撕	2.0	1
剥	d#剥撕	2.0	1
揭	d#剥撕	3.0	1
撕	d#剥撕	3.0	1
撕扯	d#剥撕	4.0	1
撕毁	d#剥撕	4.0	1
撕裂	d#剥撕	4.0	1
拿	a#拿取	1.0	1
持	a#拿取	2.0	1
秉持	a#拿取	4.0	1
握	a#拿取	2.0	1
取	a#拿取	2.0	1
抓	a#拿取	1.0	1
捉	a#拿取	1.0	1
提	a#拿取	1.0	1
拎	a#拿取	3.0	1
撮	a#拿取	4.0	1
捡	a#拿取	2.0	1
拾	a#拿取	2.0	1
挽	b#搀扶	3.0	1
持	b#搀扶	4.0	1
携手	b#搀扶	4.0	1
扶	b#搀扶	1.0	1
搀	b#搀扶	4.0	1
搀扶	b#搀扶	4.0	1
扶持	b#搀扶	4.0	1
抱	c#搂抱	1.0	1
搂	c#搂抱	2.0	1
拥抱	c#搂抱	2.0	1
搂抱	c#搂抱	3.0	1
揽	c#搂抱	4.0	1
合抱	c#搂抱	3.0	1
环抱	c#搂抱	3.0	1
揭	d#揭掀	3.0	1
掀	d#揭掀	3.0	1
掀起	d#揭掀	3.0	1
撩	d#揭掀	4.0	1
撬	d#揭掀	4.0	1
卷	d#揭掀	2.0	1
挽	d#揭掀	3.0	1
接	e#递接	1.0	1
递	e#递接	2.0	1
接送	e#递接	2.0	1
举	a#举捧	2.0	1
托	a#举捧	2.0	1
托举	a#举捧	2.0	1
扬	a#举捧	3.0	1
捧	a#举捧	1.0	1
端	a#举捧	2.0	1
扛	b#抬挑	2.0	1
拾	b#抬挑	1.0	1
担	b#抬挑	1.0	1
挑	b#抬挑	1.0	1
背	b#抬挑	1.0	1
支	c#撑拄	2.0	1
撑	c#撑拄	3.0	1
支撑	c#撑拄	3.0	1
拄	c#撑拄	4.0	1
放	a#放置	1.0	1
摆放	a#放置	2.0	1
放置	a#放置	3.0	1
安放	a#放置	3.0	1
立	a#放置	1.0	1
竖立	a#放置	2.0	1
投	a#放置	2.0	1
下	a#放置	2.0	1
堆	a#放置	1.0	1
码	a#放置	3.0	1
堆放	a#放置	3.0	1
叠	a#放置	2.0	1
折叠	a#放置	3.0	1
挂	b#悬挂	1.0	1
悬	b#悬挂	3.0	1
悬挂	b#悬挂	3.0	1
扔	c#扔投	1.0	1
抛	c#扔投	2.0	1
摔	c#扔投	2.0	1
丢	c#扔投	1.0	1
甩	c#扔投	2.0	1
撇	c#扔投	3.0	1
投	c#扔投	2.0	1
投射	c#扔投	3.0	1
解开	c#扔投	2.0	1
放飞	c#扔投	3.0	1
松绑	c#扔投	4.0	1
播	c#扔投	2.0	1
撒	c#扔投	2.0	1
盖	d#盖铺	1.0	1
捂	d#盖铺	4.0	1
铺	d#盖铺	2.0	1
摊	d#盖铺	3.0	1
填	e#填埋葬	2.0	1
埋	e#填埋葬	1.0	1
埋藏	e#填埋葬	3.0	1
葬	e#填埋葬	3.0	1
塞	f#塞插嵌	2.0	1
插	f#塞插嵌	1.0	1
嵌	f#塞插嵌	4.0	1
镶嵌	f#塞插嵌	4.0	1
包	a#包装	1.0	1
包装	a#包装	2.0	1
裹	a#包装	3.0	1
包裹	a#包装	3.0	1
装	a#包装	1.0	1
盛	a#包装	2.0	1
束	b#捆绑	2.0	1
扎	b#捆绑	2.0	1
包扎	b#捆绑	2.0	1
捆	b#捆绑	3.0	1
绑	b#捆绑	3.0	1
勒	b#捆绑	4.0	1
捆绑	b#捆绑	4.0	1
拴	b#捆绑	3.0	1
拧	b#捆绑	3.0	1
绕	b#捆绑	2.0	1
缠	b#捆绑	3.0	1
扣	b#捆绑	2.0	1
系	b#捆绑	2.0	1
糊	c#贴涂	2.0	1
贴	c#贴涂	2.0	1
粘	c#贴涂	2.0	1
张贴	c#贴涂	3.0	1
擦	c#贴涂	1.0	1
抹	c#贴涂	2.0	1
涂	c#贴涂	2.0	1
涂抹	c#贴涂	2.0	1
泥	c#贴涂	2.0	1
穿	a#穿戴	1.0	1
穿戴	a#穿戴	2.0	1
披	a#穿戴	1.0	1
套	a#穿戴	2.0	1
别	a#穿戴	1.0	1
戴	a#穿戴	1.0	1
脱	b#脱	2.0	1
弄	a#弄揉	1.0	1
摆弄	a#弄揉	3.0	1
拨弄	a#弄揉	3.0	1
揉	a#弄揉	3.0	1
团	a#弄揉	3.0	1
指	b#指点	1.0	1
点	b#指点	1.0	1
比画	b#指点	2.0	1
指点	b#指点	3.0	1
指手画脚	b#指点	3.0	1
倒	c#翻摆抖挥招扭	1.0	1
翻	c#翻摆抖挥招扭	2.0	1
翻箱倒柜	c#翻摆抖挥招扭	3.0	1
摇	c#翻摆抖挥招扭	1.0	1
摆	c#翻摆抖挥招扭	1.0	1
扇	c#翻摆抖挥招扭	1.0	1
摆动	c#翻摆抖挥招扭	1.0	1
抖	c#翻摆抖挥招扭	2.0	1
甩	c#翻摆抖挥招扭	2.0	1
抖动	c#翻摆抖挥招扭	2.0	1
挥	c#翻摆抖挥招扭	2.0	1
挥舞	c#翻摆抖挥招扭	2.0	1
舞动	c#翻摆抖挥招扭	2.0	1
招	c#翻摆抖挥招扭	2.0	1
招手	c#翻摆抖挥招扭	2.0	1
扭	c#翻摆抖挥招扭	2.0	1
扭动	c#翻摆抖挥招扭	2.0	1
耸肩	c#翻摆抖挥招扭	3.0	1
搬	d#搬	1.0	1
移	d#搬	2.0	1
挪	d#搬	3.0	1
挪移	d#搬	4.0	1
搅	e#搅	3.0	1
拌	e#搅	3.0	1
搅拌	e#搅	3.0	1
洗	a#洗刷	1.0	1
漂	a#洗刷	2.0	1
漂洗	a#洗刷	2.0	1
清洗	a#洗刷	2.0	1
漱	a#洗刷	4.0	1
洗漱	a#洗刷	4.0	1
刷牙	a#洗刷	1.0	1
洗澡	a#洗刷	1.0	1
沐浴	a#洗刷	4.0	1
刷	a#洗刷	1.0	1
冲	a#洗刷	1.0	1
冲刷	a#洗刷	3.0	1
擦	b#擦扫	1.0	1
抹	b#擦扫	2.0	1
措	b#擦扫	4.0	1
拂拭	b#擦扫	4.0	1
扫	b#擦扫	1.0	1
打扫	b#擦扫	1.0	1
清扫	b#擦扫	2.0	1
扫除	b#擦扫	2.0	1
浇	c#浇洒灌	2.0	1
淋	c#浇洒灌	2.0	1
洒	c#浇洒灌	1.0	1
泼	c#浇洒灌	2.0	1
洒落	c#浇洒灌	2.0	1
灌	c#浇洒灌	3.0	1
泡	d#泡斟	2.0	1
倒	d#泡斟	1.0	1
斟	d#泡斟	4.0	1
滤	e#滤淘	3.0	1
过滤	e#滤淘	3.0	1
淘	e#滤淘	2.0	1
捞	f#捞掏	3.0	1
打捞	f#捞掏	3.0	1
掏	f#捞掏	2.0	1
撤	f#捞掏	3.0	1
舀	f#捞掏	4.0	1
切	a#切划	2.0	1
片	a#切划	3.0	1
划	a#切划	1.0	1
破	a#切划	2.0	1
锯	a#切划	3.0	1
削	b#削刮	2.0	1
铲	b#削刮	3.0	1
刮	b#削刮	2.0	1
刨	b#削刮	4.0	1
裁	c#剪修	2.0	1
剪	c#剪修	2.0	1
理	c#剪修	2.0	1
修	c#剪修	2.0	1
修剪	c#剪修	2.0	1
修理.	c#剪修	2.0	1
剃	c#剪修	4.0	1
砍	d#砍	2.0	1
斩	d#砍	3.0	1
砍伐	d#砍	3.0	1
采伐	d#砍	3.0	1
挖	e#挖抠	1.0	1
掏	e#挖抠	2.0	1
钻	e#挖抠	2.0	1
出土	e#挖抠	3.0	1
发掘	e#挖抠	3.0	1
挖掘	e#挖抠	3.0	1
抠	e#挖抠	4.0	1
刨	e#挖抠	4.0	1
开凿	e#挖抠	4.0	1
刺	f#刺戳	2.0	1
挑	f#刺戳	2.0	1
扎	f#刺戳	2.0	1
插	f#刺戳	3.0	1
戳	f#刺戳	4.0	1
戳穿	f#刺戳	4.0	1
步	a#走	1.0	1
走	a#走	1.0	1
步行	a#走	2.0	1
前行	a#走	2.0	1
行动	a#走	2.0	1
行走	a#走	2.0	1
走动	a#走	2.0	1
徒步	a#走	3.0	1
行进	a#走	3.0	1
驻足	a#走	4.0	1
大摇大摆	a#走	2.0	1
健步如飞	a#走	3.0	1
大步流星	a#走	4.0	1
散步	a#走	1.0	1
漫步	a#走	3.0	1
徜徉	a#走	4.0	1
信马由缰	a#走	4.0	1
踉跄	a#走	4.0	1
趔趄	a#走	4.0	1
蹒跚	a#走	4.0	1
磕磕绊绊	a#走	4.0	1
轻手轻脚	a#走	2.0	1
徘徊	a#走	4.0	1
跑	b#跑	1.0	1
跑步	b#跑	1.0	1
奔	b#跑	2.0	1
奔跑	b#跑	2.0	1
飞跑	b#跑	2.0	1
飞奔	b#跑	3.0	1
狂奔	b#跑	3.0	1
奔驰	b#跑	3.0	1
奔腾	b#跑	3.0	1
飞驰	b#跑	3.0	1
疾驰	b#跑	3.0	1
驰骋	b#跑	4.0	1
纵横	b#跑	4.0	1
跳	a#踢踩跺	1.0	1
跳跃	a#踢踩跺	2.0	1
蹦	a#踢踩跺	3.0	1
飞跃	a#踢踩跺	3.0	1
撒欢儿	a#踢踩跺	3.0	1
跨	b#跨	2.0	1
