Word	index	level	score
事	a#事情	1.0	-1
事情	a#事情	1.0	-1
事务	a#事情	3.0	-1
存在	a#事情	2.0	-1
现实	a#事情	2.0	-1
事迹	a#事情	3.0	-1
国事	a#事情	3.0	-1
行政	a#事情	4.0	-1
军事	a#事情	3.0	-1
社交	a#事情	3.0	-1
外交	a#事情	3.0	-1
邮政	a#事情	2.0	-1
财政	a#事情	4.0	-1
家务	a#事情	2.0	-1
劳务	a#事情	3.0	-1
商务	a#事情	3.0	-1
家事	a#事情	3.0	-1
公事	a#事情	3.0	-1
公务	a#事情	3.0	-1
大事	a#事情	2.0	-1
当务之急	a#事情	3.0	-1
危险	a#事情	2.0	-1
风险	a#事情	3.0	-1
无米之炊	a#事情	3.0	-1
好事	a#事情	1.0	-1
坏事	a#事情	1.0	-1
勾当	a#事情	4.0	-1
喜事	a#事情	2.0	-1
喜庆	a#事情	2.0	-1
婚姻	a#事情	3.0	-1
天作之合	a#事情	4.0	-1
奥秘	a#事情	2.0	-1
秘密	a#事情	2.0	-1
隐私	a#事情	3.0	-1
机密	a#事情	4.0	-1
傻事	a#事情	2.0	-1
蠢事	a#事情	4.0	-1
新闻	a#事情	2.0	-1
时事	a#事情	4.0	-1
历史	a#事情	2.0	-1
往事	a#事情	2.0	-1
明日黄花	a#事情	4.0	-1
枝叶	a#事情	2.0	-1
细节	a#事情	3.0	-1
风波	b#变故	3.0	-1
轩然大波	b#变故	4.0	-1
事件	b#变故	2.0	-1
事故	b#变故	3.0	-1
问题	b#变故	3.0	-1
故障	b#变故	4.0	-1
麻烦	b#变故	2.0	-1
纠纷	b#变故	4.0	-1
差错	b#变故	2.0	-1
例外	b#变故	3.0	-1
万一	b#变故	3.0	-1
意外	b#变故	3.0	-1
三长两短	b#变故	3.0	-1
好歹	b#变故	4.0	-1
变动	b#变故	3.0	-1
变故	b#变故	3.0	-1
变化	b#变故	3.0	-1
情况	b#变故	3.0	-1
风吹草动	b#变故	3.0	-1
沧桑	b#变故	4.0	-1
曲折	b#变故	3.0	-1
一波三折	b#变故	3.0	-1
波折	b#变故	4.0	-1
晴天霹雳	b#变故	4.0	-1
风暴	c#社会运动	3.0	-1
旋涡	c#社会运动	3.0	-1
浪潮	c#社会运动	3.0	-1
暴动	c#社会运动	4.0	-1
暴乱	c#社会运动	4.0	-1
狂澜	c#社会运动	4.0	-1
惊涛骇浪	c#社会运动	4.0	-1
狂风暴雨	c#社会运动	4.0	-1
暴风骤雨	c#社会运动	4.0	-1
运动	c#社会运动	3.0	-1
例子	d#事例	1.0	-1
事例	d#事例	3.0	-1
常规	d#事例	3.0	-1
惯例	d#事例	4.0	-1
案例	d#事例	4.0	-1
个案	d#事例	4.0	-1
案件	e#案件	3.0	-1
官司	e#案件	3.0	-1
问题	f#疑问	1.0	-1
问号	f#疑问	2.0	-1
疑问	f#疑问	2.0	-1
疑点	f#疑问	3.0	-1
悬念	f#疑问	3.0	-1
疑难	f#疑问	3.0	-1
疑心	f#疑问	3.0	-1
疑惑	f#疑问	4.0	-1
疑虑	f#疑问	4.0	-1
谜	f#疑问	2.0	-1
嫌疑	f#疑问	4.0	-1
这么	g#这样	1.0	-1
这样	g#这样	1.0	-1
如此	g#这样	2.0	-1
那么	g#这样	1.0	-1
那样	g#这样	1.0	-1
对象	a#目标路线角度立场	2.0	-1
目标	a#目标路线角度立场	2.0	-1
目的	a#目标路线角度立场	2.0	-1
指标	a#目标路线角度立场	4.0	-1
宗旨	a#目标路线角度立场	4.0	-1
方针	a#目标路线角度立场	3.0	-1
路线	a#目标路线角度立场	3.0	-1
指南针	a#目标路线角度立场	3.0	-1
依靠	a#目标路线角度立场	2.0	-1
立场	a#目标路线角度立场	3.0	-1
态度	a#目标路线角度立场	4.0	-1
角度	a#目标路线角度立场	3.0	-1
视角	a#目标路线角度立场	3.0	-1
出发点	a#目标路线角度立场	3.0	-1
全方位	a#目标路线角度立场	3.0	-1
原因	b#原因依据根源	2.0	-1
故	b#原因依据根源	3.0	-1
缘故	b#原因依据根源	3.0	-1
动因	b#原因依据根源	4.0	-1
原委	b#原因依据根源	4.0	-1
争端	b#原因依据根源	4.0	-1
借口	b#原因依据根源	2.0	-1
托词	b#原因依据根源	4.0	-1
理由	b#原因依据根源	2.0	-1
说法	b#原因依据根源	3.0	-1
把柄	b#原因依据根源	4.0	-1
根据	b#原因依据根源	2.0	-1
依据	b#原因依据根源	3.0	-1
证据	b#原因依据根源	3.0	-1
筹码	b#原因依据根源	4.0	-1
凭证	b#原因依据根源	4.0	-1
白纸黑字	b#原因依据根源	3.0	-1
真凭实据	b#原因依据根源	3.0	-1
论证	b#原因依据根源	4.0	-1
根源	b#原因依据根源	3.0	-1
起源	b#原因依据根源	3.0	-1
渊源	b#原因依据根源	4.0	-1
来源	b#原因依据根源	3.0	-1
源流	b#原因依据根源	3.0	-1
源头	b#原因依据根源	3.0	-1
源泉	b#原因依据根源	4.0	-1
开始	c#开端	1.0	-1
开头	c#开端	1.0	-1
初	c#开端	2.0	-1
起初	c#开端	2.0	-1
起先	c#开端	2.0	-1
最初	c#开端	2.0	-1
萌芽	c#开端	3.0	-1
抬头	c#开端	3.0	-1
前奏	c#开端	3.0	-1
序幕	c#开端	3.0	-1
先声	c#开端	4.0	-1
开天辟地	c#开端	3.0	-1
破天荒	c#开端	4.0	-1
过程	d#过程	2.0	-1
阶段	d#过程	2.0	-1
经过	d#过程	2.0	-1
进程	d#过程	3.0	-1
进度	d#过程	3.0	-1
历程	d#过程	4.0	-1
始末	d#过程	4.0	-1
航程	d#过程	3.0	-1
旅程	d#过程	3.0	-1
行程	d#过程	3.0	-1
前因后果	d#过程	2.0	-1
来龙去脉	d#过程	3.0	-1
里	d#过程	1.0	-1
内	d#过程	1.0	-1
中	d#过程	1.0	-1
中间	d#过程	1.0	-1
其间	d#过程	2.0	-1
其中	d#过程	2.0	-1
半路	d#过程	2.0	-1
中途	d#过程	3.0	-1
结果	e#结果	1.0	-1
产物	e#结果	2.0	-1
结局	e#结果	2.0	-1
结尾	e#结果	2.0	-1
归结	e#结果	3.0	-1
归宿	e#结果	3.0	-1
下场	e#结果	3.0	-1
下落	e#结果	3.0	-1
究竟	e#结果	4.0	-1
尾声	e#结果	4.0	-1
后果	e#结果	2.0	-1
胜负	e#结果	3.0	-1
渠道	f#途径	3.0	-1
长征	f#途径	4.0	-1
征程	f#途径	2.0	-1
征途	f#途径	3.0	-1
大道	f#途径	3.0	-1
康庄大道	f#途径	4.0	-1
歧途	f#途径	4.0	-1
旁门左道	f#途径	4.0	-1
余地	f#途径	4.0	-1
台阶	f#途径	3.0	-1
未来	g#未来	2.0	-1
出路	g#未来	3.0	-1
出息	g#未来	3.0	-1
前景	g#未来	3.0	-1
前途	g#未来	3.0	-1
锦绣前程	g#未来	4.0	-1
规律	a#规律	2.0	-1
原理	a#规律	3.0	-1
必然	a#规律	4.0	-1
法则	a#规律	4.0	-1
办法	b#方法	1.0	-1
方法	b#方法	1.0	-1
计	b#方法	2.0	-1
点子	b#方法	2.0	-1
方式	b#方法	2.0	-1
主意	b#方法	2.0	-1
措施	b#方法	3.0	-1
艺术	b#方法	3.0	-1
用法	b#方法	2.0	-1
做法	b#方法	2.0	-1
加法	b#方法	1.0	-1
减法乘	b#方法	1.0	-1
法	b#方法	2.0	-1
除法	b#方法	2.0	-1
疗法	b#方法	3.0	-1
秘诀	b#方法	3.0	-1
窍门	b#方法	3.0	-1
步骤	b#方法	2.0	-1
手续	b#方法	3.0	-1
理	c#道理	2.0	-1
