Char	Docfreq
又	5
天	5
何	3
婚	1
设	1
论	1
蓄	1
陌	1
色	1
望	3
触	1
屋	1
很	4
程	1
痛	1
强	1
随	1
暂	1
待	2
座	1
实	2
努	1
仿	1
紧	2
缘	2
进	5
屎	1
鸥	1
气	5
住	3
扇	1
硕	1
而	6
霁	1
胡	1
嫩	1
薄	1
晰	1
格	2
录	1
错	2
里	9
警	1
业	1
跳	3
许	4
让	2
浸	1
串	1
飞	3
招	1
喝	2
茶	1
破	1
张	1
段	3
长	3
绕	1
明	5
媚	1
应	1
告	3
遥	3
度	1
见	5
头	6
凰	1
弄	1
议	1
路	1
后	5
躲	1
照	2
意	2
浴	1
高	4
庞	1
伤	1
没	8
车	1
烟	2
是	16
简	1
擦	1
身	6
悠	2
且	1
月	2
难	1
谢	1
床	1
穿	1
起	9
福	1
当	4
帆	1
裙	1
阔	1
要	7
熟	1
桃	1
装	4
帮	2
叶	3
甚	1
女	1
牲	1
眠	1
最	3
胜	2
件	2
肥	1
般	2
比	2
惊	1
脱	1
象	1
只	7
凤	1
荔	1
缝	1
层	1
着	13
鹏	1
荒	1
极	2
离	2
累	1
团	1
步	1
替	1
宏	1
死	2
忽	1
原	1
事	4
过	9
悔	1
狂	1
柏	1
忙	2
己	5
刻	4
现	4
辞	1
面	4
笑	5
灵	2
似	4
惠	1
袭	1
即	2
有	10
蚀	1
愿	2
豫	1
生	6
楚	1
电	3
或	2
瞬	1
柳	1
立	2
樊	2
语	1
抗	1
抬	3
考	2
专	1
道	7
注	1
桌	2
满	3
太	4
吓	2
胆	1
辈	2
候	6
怅	1
零	1
理	3
并	1
回	7
坚	1
冥	1
吹	2
袋	2
二	1
恩	1
滚	1
唱	1
觉	4
念	1
阳	4
坠	2
奋	1
韵	1
投	1
雪	1
皮	1
茫	1
雷	1
粗	1
口	3
旋	1
反	2
欲	1
默	1
到	13
枫	1
忘	1
晨	1
抱	3
样	4
正	4
一	17
宁	1
制	1
配	2
景	3
情	4
笔	1
牙	1
牺	1
藏	1
婆	1
说	6
如	5
壑	1
排	2
误	1
川	2
征	1
去	5
义	2
逍	1
病	1
脆	1
绝	1
终	1
铃	1
娇	2
针	1
本	2
人	11
至	1
诗	1
贷	1
向	3
止	1
亲	1
裹	1
够	1
丽	2
翻	1
按	1
邱	1
两	1
序	1
代	2
已	5
等	4
耀	1
桑	1
韩	2
持	1
男	1
完	2
老	1
烦	1
佳	2
表	3
壳	1
方	5
部	1
做	4
聚	1
游	1
同	1
命	1
复	1
围	1
坡	1
兮	1
梦	2
多	5
饱	1
启	1
青	1
的	17
拍	2
暖	2
因	2
概	1
撑	1
请	1
豆	1
系	1
影	2
怕	1
界	1
时	7
视	2
城	1
名	1
声	3
力	2
送	3
杯	1
麻	2
犹	1
控	1
扭	2
外	3
若	1
趟	1
脖	1
岩	1
也	7
无	4
锐	1
徐	1
芳	1
蛋	1
杂	1
恨	1
务	1
腾	1
将	4
出	8
哈	1
之	5
千	1
思	1
染	1
摄	1
把	5
搞	1
拥	4
不	16
折	2
遗	1
备	2
醇	1
漫	1
穷	2
发	3
神	2
眼	6
半	3
题	1
韶	1
彼	1
秀	1
认	1
幽	1
都	6
对	6
就	13
狼	1
报	3
呆	1
间	5
国	1
条	1
鞋	1
唇	1
缠	2
者	1
深	2
个	9
鸣	1
胸	1
颗	1
切	1
转	4
动	3
赶	1
防	1
迷	1
耳	1
佛	1
结	2
石	1
综	1
宽	1
年	4
地	11
使	1
初	1
跟	2
飘	3
站	2
每	2
淋	2
尽	2
债	1
震	1
吃	4
但	7
踏	1
吧	5
马	1
桐	1
岁	1
挂	1
包	2
开	7
酒	1
闹	1
查	1
小	6
常	3
品	1
虽	2
信	1
子	8
轮	1
扯	1
秘	1
问	5
谁	1
掬	1
趾	1
芬	1
急	1
易	1
闭	1
杨	1
片	2
清	3
夫	1
环	1
奈	1
湍	1
像	4
晃	2
准	1
怨	1
梯	1
玉	1
目	2
门	2
虑	1
大	7
非	3
先	1
传	2
拖	1
感	5
句	1
摸	1
况	1
十	2
少	2
相	4
留	1
行	1
探	1
挽	1
拉	2
合	1
渺	1
直	5
放	4
辉	1
滴	2
憾	1
示	1
凉	1
宝	2
红	1
抓	1
守	1
逢	1
闻	1
敢	2
话	5
员	1
跑	1
么	11
带	3
言	2
绻	1
摆	1
法	1
顺	1
护	1
手	4
村	1
箭	1
苍	1
牵	1
她	6
贴	1
成	3
惘	1
什	4
来	12
抛	1
混	1
择	1
占	1
脸	5
珠	1
升	1
湿	1
白	7
峰	1
干	3
内	1
欢	3
梁	1
分	1
居	1
工	2
上	11
侧	1
前	7
阵	1
插	1
了	16
数	2
珍	1
栗	1
挤	1
哭	2
四	1
彩	1
久	1
光	3
尖	1
裂	1
点	4
可	7
入	5
在	10
疚	1
盯	1
这	9
磨	1
憩	1
及	3
坑	1
园	1
周	4
击	1
关	3
窗	2
底	2
尘	1
平	2
王	1
轻	3
中	4
肿	1
旧	2
灰	1
得	9
雎	2
趁	1
宋	1
林	1
遇	1
定	4
香	1
峦	1
呼	2
尾	1
木	2
散	1
温	2
全	1
下	11
海	2
足	2
器	1
需	2
蛮	1
希	1
鬈	1
会	8
雕	1
别	2
受	3
尝	1
躺	1
翅	1
主	3
骨	1
欠	1
东	1
春	2
项	1
愁	2
曲	2
莹	1
巾	1
挺	1
野	2
鬼	1
滑	1
莲	1
状	1
担	1
经	5
们	5
烂	1
伙	1
积	2
还	6
含	1
低	2
腰	1
绣	1
画	1
爱	5
此	2
所	5
陪	2
借	1
以	7
嘉	1
雨	2
突	2
洋	1
销	1
便	2
锁	1
落	5
收	2
规	1
沧	1
单	1
灯	1
恐	1
你	10
好	8
匆	2
份	1
丝	2
搬	1
那	11
能	6
耽	1
指	1
绚	1
花	4
自	5
舞	1
链	1
学	2
音	2
保	1
柜	1
然	8
醉	1
运	1
用	2
试	1
姐	1
今	3
桥	1
为	5
短	1
远	2
井	1
背	1
忧	1
美	6
走	3
弹	1
真	4
提	1
知	3
亮	2
盛	1
网	1
驾	1
求	1
叫	3
径	1
勇	2
记	2
亏	2
未	1
山	2
唯	2
糊	1
蓝	1
颜	1
潭	1
它	1
汤	1
晚	1
衣	2
棵	1
与	1
该	1
架	1
买	2
峋	1
怎	4
曾	1
三	4
细	2
啊	1
静	3
歌	2
场	1
统	1
刚	2
载	1
唤	1
解	2
边	4
茅	1
暴	1
形	1
嗯	1
性	2
携	1
伞	1
朝	3
扬	2
兄	1
距	1
吸	1
油	1
挥	1
乎	3
整	1
存	1
压	2
幸	2
顾	1
活	1
总	2
听	7
缱	1
他	7
双	1
硬	1
调	1
乐	1
怪	1
世	2
补	1
坐	1
午	2
闷	2
救	1
管	1
往	2
打	3
廓	1
加	1
喂	1
物	1
拒	1
索	1
西	1
风	6
寸	1
猪	1
哪	1
罗	1
被	5
嶙	1
种	3
枝	1
垂	1
尔	2
晴	1
堆	1
呢	4
展	1
绽	2
罕	1
偷	1
从	1
弯	1
和	6
粉	1
圈	1
图	1
诉	1
新	3
沐	1
树	1
仇	1
秩	1
机	5
料	1
廊	1
选	1
拼	1
容	2
再	3
想	10
连	2
浆	1
量	1
才	4
虹	1
作	2
次	1
伴	1
教	1
英	1
独	1
日	1
航	1
饭	2
遏	1
板	1
些	3
怀	2
家	6
睡	2
夏	1
捏	1
楼	1
河	2
近	1
看	7
几	3
肯	1
堪	1
瞥	1
流	3
愣	1
脚	3
泪	2
安	3
我	11
梧	1
筱	2
导	1
空	7
频	1
苦	1
骂	1
脑	4
校	1
吗	4
绡	2
必	1
线	2
须	1
微	1
其	4
碎	1
倦	1
寂	1
儿	3
于	3
缕	1
较	1
稀	1
搅	1
重	3
浑	1
砰	1
期	1
喜	3
孟	1
夜	1
黄	1
群	1
迪	1
心	8
早	4
服	2
热	1
