word	count1	flag1	count0	flag0	all	score
烟雨	53	n	0	n	53	1.0
秋雨	42	nr	0	nr	42	1.0
冬	41	tg	0	tg	41	1.0
月色	36	n	0	n	36	1.0
荷叶	35	n	0	n	35	1.0
静谧	34	nr	0	nr	34	1.0
荷花	32	n	0	n	32	1.0
袅袅	29	z	0	z	29	1.0
花开花落	29	i	0	i	29	1.0
绚烂	27	a	0	a	27	1.0
缱绻	24	a	0	a	24	1.0
暗香	24	n	0	n	24	1.0
萧瑟	24	nr	0	nr	24	1.0
春暖花开	21	l	0	l	21	1.0
陌上	21	s	0	s	21	1.0
昙花	21	n	0	n	21	1.0
呢喃	20	n	0	n	20	1.0
唯美	20	a	0	a	20	1.0
清欢	20	v	0	v	20	1.0
悠然	20	z	0	z	20	1.0
烂漫	20	z	0	z	20	1.0
莲	20	ng	0	ng	20	1.0
花落	19	n	0	n	19	1.0
曼妙	19	nr	0	nr	19	1.0
朵	19	q	0	q	19	1.0
晚霞	18	n	0	n	18	1.0
婉约	18	d	0	d	18	1.0
梧桐	18	n	0	n	18	1.0
片片	18	m	0	m	18	1.0
流转	18	v	0	v	18	1.0
馨香	18	n	0	n	18	1.0
夏	18	t	0	t	18	1.0
姹紫嫣红	17	i	0	i	17	1.0
纷飞	17	v	0	v	17	1.0
温婉	17	a	0	a	17	1.0
雨丝	17	n	0	n	17	1.0
一瓣	17	n	0	n	17	1.0
柔柔的	17	z	0	z	17	1.0
连绵	17	a	0	a	17	1.0
银河	17	n	0	n	17	1.0
繁花	17	n	0	n	17	1.0
婉转	17	v	0	v	17	1.0
春色	16	n	0	n	16	1.0
飘渺	16	a	0	a	16	1.0
北国	16	ns	0	ns	16	1.0
一朵朵	16	m	0	m	16	1.0
云雾	16	n	0	n	16	1.0
盈盈	16	z	0	z	16	1.0
秋水	16	nr	0	nr	16	1.0
勾勒	16	nrt	0	nrt	16	1.0
树影	16	n	0	n	16	1.0
水墨	16	n	0	n	16	1.0
