Word	Docfreq_0	Docfreq_1	score
烟雨	0	176	1.0
缱绻	0	96	1.0
暗香	0	80	1.0
呢喃	0	76	1.0
荷叶	0	76	1.0
柔柔	0	68	1.0
帘	0	64	1.0
洒落	0	60	1.0
繁花	0	60	1.0
片片	0	56	1.0
绿荫	0	56	1.0
和煦	0	56	1.0
桃红	0	52	1.0
苍穹	0	52	1.0
云雾	0	52	1.0
葱茏	0	48	1.0
空灵	0	48	1.0
秋水	0	48	1.0
翩翩	0	48	1.0
搁浅	0	48	1.0
高山流水	0	48	1.0
杏花	0	44	1.0
清茶	0	44	1.0
眉间	0	44	1.0
铺展	0	44	1.0
狂风	0	40	1.0
春日	0	40	1.0
荷	0	40	1.0
飘香	0	40	1.0
碧波	0	40	1.0
油纸伞	0	40	1.0
仙子	0	40	1.0
花海	0	40	1.0
飞雪	0	40	1.0
穿透	0	36	1.0
昙花	0	36	1.0
写意	0	36	1.0
经年	0	36	1.0
静美	0	36	1.0
西楼	0	36	1.0
水声	0	36	1.0
清浅	0	36	1.0
一缕缕	0	36	1.0
嫣然	0	36	1.0
风尘	0	36	1.0
眸子	0	36	1.0
丁香	0	36	1.0
娇羞	0	32	1.0
柳枝	0	32	1.0
清冽	0	32	1.0
浸染	0	32	1.0
缥缈	0	32	1.0
休憩	0	32	1.0
素雅	0	32	1.0
风月	0	32	1.0
阕	0	32	1.0
藤蔓	0	32	1.0
山花	0	32	1.0
霓裳	0	32	1.0
芭蕉	0	32	1.0
曲曲折折	0	32	1.0
濯	0	32	1.0
惊鸿	0	32	1.0
诗行	0	32	1.0
堪	0	32	1.0
歌谣	0	32	1.0
澄澈	0	32	1.0
云烟	0	28	1.0
海誓	0	28	1.0
白玉	0	28	1.0
娇柔	0	28	1.0
翩跹	0	28	1.0
眉眼	0	28	1.0
光华	0	28	1.0
起起落落	0	28	1.0
南国	0	28	1.0
清冷	0	28	1.0
花丛	0	28	1.0
雨声	0	28	1.0
阑珊处	0	28	1.0
